Year,Country,ExportsFASValueBasisYtdDec,GenImportsCIFValBasisYtdDec
1996,Canada,532850043,358755321
1996,Mexico,56077722,632315237
1996,Guatemala,1656512,268641355
1996,Belize,350102,132913
1996,El Salvador,1114079,55355308
1996,Honduras,1226421,40161351
1996,Nicaragua,642139,7385121
1996,Costa Rica,2113706,96171483
1996,Panama,4827307,14112620
1996,Bermuda,1283338,5573
1996,Bahamas,1121627,0
1996,Jamaica,1326903,4309249
1996,Turks and Caicos Islands,7832,8468
1996,Cayman Islands,277786,53218
1996,Haiti,654410,1171689
1996,Dominican Republic,3493189,101173984
1996,British Virgin Islands,112154,445342
1996,St Kitts and Nevis,90998,58803
1996,Antigua and Barbuda,76464,16042
1996,Montserrat,7848,0
1996,Dominica,36595,141011
1996,St Lucia,160661,78123
1996,St Vincent and the Grenadines,24332,0
1996,Grenada,41180,239274
1996,Barbados,518042,10553
1996,Trinidad and Tobago,885386,2451332
1996,Netherlands Antilles,2475395,37998
1996,Aruba,560876,0
1996,Guadeloupe,3366,0
1996,Colombia,5359958,530445434
1996,Venezuela,2942744,62253758
1996,Guyana,594297,0
1996,Suriname,386649,3671
1996,Ecuador,794055,170530802
1996,Peru,1250586,65825354
1996,Bolivia,409677,365944
1996,Chile,3268337,19106657
1996,Brazil,5382557,441693116
1996,Paraguay,298181,36425
1996,Uruguay,606318,93459
1996,Argentina,3182987,25893438
1996,Iceland,1202825,0
1996,Sweden,2410329,42583649
1996,"Svalbard, Jan Mayen Island",57888,0
1996,Norway,963927,275814
1996,Finland,18929532,252108
1996,Faroe Islands,21847,0
1996,Denmark,429585,625640
1996,United Kingdom,6409659,40592867
1996,Ireland,221227,5801879
1996,Netherlands,5290063,108966054
1996,Belgium,2169213,29171028
1996,France,4046095,34476306
1996,Germany,10502976,125326755
1996,Austria,21543,895240
1996,Czech Republic,130782,190227
1996,Slovakia,75264,97626
1996,Hungary,269031,1411612
1996,Switzerland,1093691,34195116
1996,Estonia,74954,0
1996,Latvia,100675,45545
1996,Lithuania,767586,32421
1996,Poland,1120945,3071369
1996,Russia,23168959,434578
1996,Belarus,51494,0
1996,Ukraine,1017839,0
1996,Armenia,0,54782
1996,Georgia,66000,0
1996,Uzbekistan,88320,0
1996,Spain,1932324,23086575
1996,Portugal,116566,406775
1996,Malta,9733,0
1996,Italy,1931157,46588607
1996,Croatia,0,874488
1996,Slovenia,0,30529
1996,Bosnia and Herzegovina,0,36850
1996,Macedonia,0,19767
1996,Montenegro,19170,0
1996,Albania,0,105819
1996,Greece,722120,1907074
1996,Romania,553992,30066
1996,Bulgaria,0,738526
1996,Turkey,99773,18825594
1996,Cyprus,42742,7813
1996,Syria,0,3282671
1996,Lebanon,333466,465448
1996,Israel,3148817,11387822
1996,Jordan,102285,133623
1996,Kuwait,368851,0
1996,Saudi Arabia,5995684,153684
1996,Qatar,298671,0
1996,United Arab Emirates,1807324,130471
1996,Yemen,5200,2376903
1996,Oman,276352,0
1996,Bahrain,205846,0
1996,India,232476,131588311
1996,Pakistan,78073,2976587
1996,Nepal,6942,0
1996,Bangladesh,260976,7396
1996,Sri Lanka,1003099,16269958
1996,Burma,124077,38757
1996,Thailand,2479258,81511009
1996,Vietnam,406441,118340450
1996,Cambodia,99704,0
1996,Malaysia,897188,47792985
1996,Singapore,9345517,24699843
1996,Indonesia,308353,459742065
1996,Philippines,16187274,6029933
1996,Macau,0,57888
1996,China,8668739,79734357
1996,Mongolia,6234,0
1996,"Korea, South",32281858,1673515
1996,Hong Kong,16495413,4213438
1996,Taiwan,21642438,3998787
1996,Japan,57268359,5012180
1996,Australia,8686696,461642
1996,Papua New Guinea,0,26241070
1996,New Zealand,1456674,17304
1996,Samoa,40575,9166
1996,New Caledonia,100677,0
1996,French Polynesia,283550,347658
1996,Marshall Islands,31507,0
1996,Micronesia,71351,0
1996,Palau,41990,0
1996,Fiji,7877,1378711
1996,Tonga,0,640906
1996,Morocco,0,3380389
1996,Algeria,1185205,0
1996,Egypt,127696,5138981
1996,Cameroon,0,9617078
1996,Senegal,0,4318
1996,Guinea,0,678336
1996,Sierra Leone,8000,8199
1996,Cote d'Ivoire,229040,311845034
1996,Ghana,177438,31412756
1996,Niger,6000,4081
1996,Nigeria,63105,5918571
1996,Cabo Verde,73201,0
1996,Liberia,4121,0
1996,Burundi,0,517389
