Year,Country,ExportsFASValueBasisYtdDec,GenImportsCIFValBasisYtdDec
1996,Rwanda,0,7619374
1996,Ethiopia,2509,21798418
1996,Uganda,0,16804200
1996,Kenya,212562,28423613
1996,Tanzania,0,2958107
1996,Mauritius,52800,90867
1996,Mozambique,0,29337
1996,Madagascar,0,22309662
1996,Comoros,0,2390058
1996,Reunion,0,40358
1996,South Africa,312622,1485407
1996,Zambia,0,366049
1996,Zimbabwe,99707,1551038
1996,Malawi,0,5372304
1997,Canada,614777582,433131216
1997,Mexico,73538493,737081527
1997,Guatemala,1328837,416385418
1997,Belize,398506,36928
1997,El Salvador,1700784,103430461
1997,Honduras,1804417,72651016
1997,Nicaragua,693903,18601021
1997,Costa Rica,2076271,148788348
1997,Panama,4470084,15603937
1997,Bermuda,1586694,0
1997,Bahamas,1551860,0
1997,Cuba,8500,0
1997,Jamaica,2015179,5061509
1997,Turks and Caicos Islands,10331,0
1997,Cayman Islands,459386,120754
1997,Haiti,375753,2319281
1997,Dominican Republic,5542339,96062384
1997,Anguilla,5849,0
1997,British Virgin Islands,152888,3416187
1997,St Kitts and Nevis,108522,0
1997,Antigua and Barbuda,69367,158265
1997,Montserrat,15156,0
1997,Dominica,15845,318415
1997,St Lucia,185307,76163
1997,St Vincent and the Grenadines,197430,0
1997,Grenada,32798,617663
1997,Barbados,867371,10425
1997,Trinidad and Tobago,1118666,2447439
1997,Netherlands Antilles,1734564,0
1997,Aruba,479684,0
1997,Guadeloupe,0,46308
1997,Colombia,3835488,812233728
1997,Venezuela,5003605,17276499
1997,Guyana,468468,1457
1997,Suriname,104596,0
1997,French Guiana,124425,0
1997,Ecuador,1839620,140228160
1997,Peru,1557111,189265355
1997,Bolivia,227225,2276325
1997,Chile,2503719,16039595
1997,Brazil,7436905,572954291
1997,Paraguay,533182,125637
1997,Uruguay,792051,17180
1997,Argentina,3737883,31725561
1997,Iceland,1246641,0
1997,Sweden,1236972,43930125
1997,Norway,751376,221655
1997,Finland,20676513,721298
1997,Faroe Islands,10906,0
1997,Denmark,608956,588602
1997,United Kingdom,9739441,61452087
1997,Ireland,1698419,8600796
1997,Netherlands,6240096,126779173
1997,Belgium,4512141,38054834
1997,Monaco,0,2806
1997,France,4081013,62274172
1997,Germany,15204044,154735193
1997,Austria,56249,1781450
1997,Czech Republic,117705,66064
1997,Slovakia,0,16512
1997,Hungary,162902,1957580
1997,Switzerland,3457676,60186876
1997,Estonia,6761,0
1997,Latvia,341950,43320
1997,Lithuania,615690,35614
1997,Poland,1211938,3232707
1997,Russia,17120370,495848
1997,Ukraine,921625,16621
1997,Georgia,0,70639
1997,Kazakhstan,16299,0
1997,Moldova,6500,19400
1997,Spain,1029976,25338645
1997,Portugal,163237,412434
1997,Malta,165230,4899
1997,San Marino,2511,0
1997,Italy,3222397,47214712
1997,Croatia,0,825045
1997,Slovenia,0,75857
1997,Montenegro,19345,0
1997,Albania,0,39330
1997,Greece,650953,1952397
1997,Romania,45013,0
1997,Bulgaria,20000,343671
1997,Turkey,288734,17515674
1997,Cyprus,60025,5161
1997,Syria,57000,2249995
1997,Lebanon,325159,662584
1997,Israel,6435313,13074288
1997,Jordan,102746,109258
1997,Kuwait,1367389,0
1997,Saudi Arabia,5896322,131623
1997,Qatar,93857,0
1997,United Arab Emirates,3276499,39721
1997,Yemen,48075,3363732
1997,Oman,320214,0
1997,Bahrain,13620,0
1997,Afghanistan,0,93792
1997,India,896204,170068089
1997,Pakistan,32237,2547651
1997,Nepal,13468,8579
1997,Bangladesh,209808,124070
1997,Sri Lanka,667883,16434311
1997,Thailand,3040131,54199126
1997,Vietnam,459794,116612936
1997,Laos,0,303684
1997,Cambodia,5864,0
1997,Malaysia,2283184,83667692
1997,Singapore,8340318,33939450
1997,Indonesia,647324,562631804
1997,Brunei,4381,0
1997,Philippines,19670203,5852051
1997,Macau,5176,0
1997,China,8477557,95611983
1997,"Korea, South",35345602,2997545
1997,Hong Kong,27351161,2067516
1997,Taiwan,17351974,3435792
1997,Japan,41967033,5165027
1997,Australia,14741461,479183
1997,Papua New Guinea,0,23506023
1997,New Zealand,1772411,12543
1997,Samoa,0,24835
1997,New Caledonia,59340,0
1997,French Polynesia,305302,578730
1997,Marshall Islands,41345,0
1997,Micronesia,77322,0
1997,Palau,225407,0
1997,Fiji,27628,1080984
1997,Tonga,0,176440
1997,Morocco,11605,1574547
1997,Algeria,80222,0
1997,Tunisia,0,62723
1997,Egypt,236418,2813733
1997,Equatorial Guinea,2702,0
1997,Cameroon,0,8120371
1997,Guinea,38020,6568179
1997,Sierra Leone,0,46619
1997,Cote d'Ivoire,600045,237847842
1997,Ghana,207733,9311971
1997,Niger,0,18188
1997,Togo,0,63905
1997,Nigeria,155138,7242816
1997,Congo (Brazzaville),0,144714
1997,Cabo Verde,7398,0
1997,Liberia,36554,0
1997,Congo (Kinshasa),0,279219
1997,Burundi,0,14228125
1997,Rwanda,0,2635020
1997,Ethiopia,0,64084331
1997,Uganda,0,37903110
1997,Kenya,64022,31303773
1997,Tanzania,0,3749965
1997,Mauritius,0,341166
1997,Madagascar,0,31534436
1997,Comoros,0,1463831
1997,Reunion,0,20050
1997,South Africa,577727,4964396
1997,Zambia,0,91954
1997,Zimbabwe,5205,3356603
1997,Malawi,0,4787444
1998,Canada,674626581,528644294
1998,Mexico,93186086,584668970
1998,Guatemala,1842636,308419926
1998,Belize,422450,165470
1998,El Salvador,1114192,90747900
1998,Honduras,2062693,129039517
1998,Nicaragua,758571,29082076
1998,Costa Rica,1923042,168536688
1998,Panama,3830117,21698351
1998,Bermuda,1129926,0
1998,Bahamas,2045387,0
1998,Jamaica,2106335,4088736
1998,Turks and Caicos Islands,48760,0
1998,Cayman Islands,453241,131530
1998,Haiti,300813,3292699
1998,Dominican Republic,3678179,111479389
1998,Anguilla,20508,0
1998,British Virgin Islands,53252,66073
1998,St Kitts and Nevis,46982,0
1998,Antigua and Barbuda,72572,50223
1998,Montserrat,3435,2410
1998,Dominica,25114,26239
1998,St Lucia,228353,39118
1998,St Vincent and the Grenadines,19533,0
1998,Grenada,20517,786192
1998,Barbados,772629,5149
1998,Trinidad and Tobago,1184661,1274130
1998,Netherlands Antilles,3573709,0
1998,Aruba,783404,0
1998,Martinique,4329,0
1998,Colombia,3671640,710725158
1998,Venezuela,4713818,21008732
1998,Guyana,185579,4472
1998,Suriname,92900,18010
1998,French Guiana,314000,0
1998,Ecuador,1478487,65597990
1998,Peru,2977669,137470103
1998,Bolivia,387240,905295
1998,Chile,1473223,21592046
1998,Brazil,10022848,504865010
1998,Paraguay,37233,308799
1998,Uruguay,574228,73469
1998,Argentina,1756550,51341693
1998,Iceland,1148743,150220
1998,Sweden,2080776,38369358
1998,Norway,1157345,273432
1998,Finland,6133067,789395
1998,Denmark,724651,1086282
1998,United Kingdom,11645587,64751965
1998,Ireland,2546196,10396216
1998,Netherlands,8095243,122889160
1998,Belgium,9353243,42834470
1998,Monaco,0,11428
1998,France,6795447,52229424
1998,Germany,16307176,140119963
1998,Austria,126336,1315266
1998,Czech Republic,985779,179225
1998,Slovakia,10500,0
1998,Hungary,116669,2024044
1998,Switzerland,1054259,31433903
1998,Estonia,57613,8861
1998,Latvia,915444,99436
1998,Lithuania,561376,0
1998,Poland,742737,3597078
1998,Russia,7232714,606391
1998,Belarus,107822,0
1998,Ukraine,299128,36956
1998,Georgia,115474,370222
1998,Moldova,30000,0
1998,Spain,1365404,27141811
1998,Portugal,273089,337250
1998,Malta,101033,0
1998,San Marino,3935,0
1998,Italy,2591645,46265265
1998,Croatia,0,945116
1998,Slovenia,18448,11549
1998,Macedonia,0,12173
1998,Montenegro,0,5788
1998,Albania,0,61816
1998,Greece,651109,2568915
1998,Romania,13539,0
1998,Bulgaria,255890,395829
1998,Turkey,349328,20434257
1998,Cyprus,30635,62334
1998,Syria,0,2800773
1998,Lebanon,212459,756144
1998,Israel,5310052,14337977
1998,Jordan,185062,243273
1998,Kuwait,534482,0
1998,Saudi Arabia,5673850,0
1998,Qatar,205655,0
1998,United Arab Emirates,3155553,100237
1998,Yemen,0,2388620
1998,Oman,281369,0
1998,Bahrain,112778,0
1998,India,1009220,171252216
1998,Pakistan,31970,1965848
1998,Nepal,0,18509
1998,Bangladesh,0,21170
1998,Sri Lanka,499477,26203197
1998,Burma,81737,41191
1998,Thailand,1760950,49985287
1998,Vietnam,144898,157324121
1998,Cambodia,14504,0
1998,Malaysia,1268029,72961848
1998,Singapore,7562845,42645553
1998,Indonesia,323976,586368616
1998,Brunei,11846,0
1998,Philippines,12925768,5033528
1998,Macau,51616,0
1998,China,5330535,86978928
1998,"Korea, South",14260011,1941452
1998,Hong Kong,11119003,1976851
1998,Taiwan,8365841,3415514
1998,Japan,39741726,5592112
1998,Australia,14581954,523114
1998,Christmas Island,15941,0
1998,Papua New Guinea,7668,39806608
1998,New Zealand,1869233,4613
1998,Samoa,0,9141
1998,New Caledonia,74790,0
1998,French Polynesia,231930,377023
1998,Marshall Islands,6844,0
1998,Micronesia,130449,0
1998,Palau,130343,0
1998,Fiji,7665,796899
1998,Tonga,0,700157
1998,Morocco,43206,2084165
1998,Algeria,0,1967966
1998,Tunisia,67621,0
1998,Egypt,4097,2988969
1998,Western Sahara,0,2223
1998,Cameroon,0,4531488
1998,Senegal,54293,0
1998,Guinea,0,3655982
1998,Sierra Leone,0,98300
1998,Cote d'Ivoire,460018,404282609
1998,Ghana,261257,23641523
1998,Togo,0,43160
1998,Nigeria,75200,5805980
1998,Congo (Brazzaville),0,649707
1998,Liberia,38701,0
1998,Congo (Kinshasa),5250,28450
1998,Burundi,0,6595103
1998,Rwanda,0,1940794
1998,Ethiopia,0,39903593
1998,Djibouti,0,434594
1998,Uganda,0,12652997
1998,Kenya,0,38105591
1998,Tanzania,0,3687296
1998,Mauritius,6180,345177
1998,Madagascar,120000,38952187
1998,Comoros,0,544981
1998,Reunion,0,6286
1998,South Africa,619864,4549992
1998,Zambia,0,682913
1998,Swaziland,0,4209
1998,Zimbabwe,0,4920174
1998,Malawi,0,12346753
1999,Canada,595660237,528582474
1999,Mexico,108373275,531447201
1999,Guatemala,2679233,312773675
1999,Belize,500045,126170
1999,El Salvador,1278206,69574914
1999,Honduras,1347557,54012067
1999,Nicaragua,655945,26217821
1999,Costa Rica,3264914,141526030
1999,Panama,5768867,19788467
1999,Bermuda,1026068,0
1999,Bahamas,2043166,0
1999,Jamaica,1987914,4728227
1999,Turks and Caicos Islands,25290,124139
1999,Cayman Islands,284312,0
1999,Haiti,33905,1692510
1999,Dominican Republic,4013331,33261710
1999,British Virgin Islands,19605,182315
1999,St Kitts and Nevis,15141,2756
1999,Antigua and Barbuda,61978,33832
1999,Montserrat,11863,0
1999,Dominica,7532,75733
1999,St Lucia,301083,61215
1999,St Vincent and the Grenadines,8526,0
1999,Grenada,43177,2064566
1999,Barbados,839853,4270
1999,Trinidad and Tobago,1826514,751399
1999,Netherlands Antilles,2106605,49284
1999,Aruba,1224940,0
1999,Martinique,17745,0
1999,Colombia,4157863,542167059
1999,Venezuela,6190111,50234126
1999,Guyana,57508,5241
1999,Suriname,22422,48805
1999,Ecuador,373771,101908177
1999,Peru,1331123,104624003
1999,Bolivia,538676,1380111
1999,Chile,1241021,18338052
1999,Brazil,4945488,598412510
1999,Paraguay,72453,450456
1999,Uruguay,545286,93632
1999,Argentina,2050316,43623658
1999,Iceland,1000204,81333
1999,Sweden,1327559,30651124
1999,Norway,851641,233711
1999,Finland,3686397,634791
1999,Denmark,668588,1463634
1999,United Kingdom,8413023,72320682
1999,Ireland,1720500,12136173
1999,Netherlands,12548418,120673829
1999,Belgium,7436335,55137930
1999,Luxembourg,0,9929
1999,Monaco,0,41600
1999,France,7805235,58470051
1999,Germany,8930164,123717928
1999,Austria,71815,2348092
1999,Czech Republic,21876,74124
1999,Slovakia,8750,27115
1999,Hungary,243897,1006548
1999,Switzerland,329117,34160242
1999,Estonia,627809,26155
1999,Latvia,954203,155474
1999,Lithuania,434835,0
1999,Poland,157385,3873350
1999,Russia,3098029,714887
1999,Belarus,75312,0
1999,Ukraine,174980,94297
1999,Armenia,2765,0
1999,Georgia,5386,763372
1999,Kyrgyzstan,0,13922
1999,Moldova,0,39128
1999,Spain,734333,21464859
1999,Portugal,1592983,379000
1999,Malta,68224,0
1999,Vatican City,8805,0
1999,Italy,1561968,30649976
1999,Croatia,0,667883
1999,Slovenia,2742069,28653
1999,Macedonia,0,33019
1999,Montenegro,0,22089
1999,Albania,0,5226
1999,Greece,557231,3027248
1999,Romania,2800,0
1999,Bulgaria,126389,238001
1999,Turkey,182628,20478893
1999,Cyprus,113853,78650
1999,Syria,16244,4346352
1999,Lebanon,335123,934440
1999,Israel,7170449,13027088
1999,Jordan,276072,78784
1999,Kuwait,854984,0
1999,Saudi Arabia,5624500,0
1999,Qatar,121466,0
1999,United Arab Emirates,3106007,239862
1999,Yemen,15243,2958414
1999,Oman,122732,0
1999,Bahrain,119935,0
1999,Afghanistan,0,30000
1999,India,636745,196429469
1999,Pakistan,80146,3219242
1999,Nepal,0,3239
1999,Bangladesh,0,2639
1999,Sri Lanka,617762,22044142
1999,Burma,0,69133
1999,Thailand,2304949,22479558
1999,Vietnam,46023,126481606
1999,Laos,0,125315
1999,Cambodia,152588,0
1999,Malaysia,1612447,75335022
1999,Singapore,9349529,23367557
1999,Indonesia,453597,452474149
1999,Brunei,58827,0
1999,Philippines,29586864,2997068
1999,Macau,40979,0
1999,China,7560500,73530392
1999,Mongolia,130000,0
1999,"Korea, South",22486683,1523069
1999,Hong Kong,13494025,2162289
1999,Taiwan,11283486,4096901
1999,Japan,39710196,5192124
1999,Australia,17836865,429786
1999,Papua New Guinea,0,52905227
1999,New Zealand,1563707,148966
1999,Niue,0,19330
1999,Samoa,0,19768
1999,Solomon Islands,0,39188
1999,Kiribati,25920,0
1999,New Caledonia,62645,0
1999,French Polynesia,471189,802104
1999,Marshall Islands,12241,0
1999,Micronesia,66629,0
1999,Palau,191621,0
1999,Fiji,6662,617320
1999,Tonga,0,590189
1999,Morocco,3024,1371496
1999,Algeria,6905,723891
1999,Egypt,560977,3175320
1999,Cameroon,0,3109789
1999,Guinea,10500,321044
1999,Sierra Leone,0,15080
1999,Cote d'Ivoire,7211365,313684065
1999,Ghana,63071,42498316
1999,Nigeria,90496,4045307
1999,Central African Republic,0,105864
1999,St Helena,6666,0
1999,Congo (Brazzaville),0,998449
1999,Cabo Verde,15560,0
1999,Liberia,43892,0
1999,Burundi,0,6225508
1999,Rwanda,0,1565461
1999,Ethiopia,0,15001189
1999,Djibouti,0,52300
1999,Uganda,0,18638207
1999,Kenya,0,26322117
1999,Tanzania,0,4437838
1999,Mauritius,0,3610
1999,Mozambique,0,55456
1999,Madagascar,0,23257413
1999,Comoros,0,1693614
1999,Reunion,0,47157
1999,South Africa,829151,2222372
1999,Zambia,0,1132275
1999,Zimbabwe,0,2148203
1999,Malawi,0,13886994
2000,Canada,555320646,578464017
2000,Mexico,186916175,548641917
2000,Guatemala,2743673,315809748
2000,Belize,510763,24300
2000,El Salvador,5178052,140436621
2000,Honduras,1616541,102712437
2000,Nicaragua,1669728,61735299
2000,Costa Rica,3459119,128651464
2000,Panama,5543067,15909090
2000,Bermuda,753521,0
2000,Bahamas,1744565,54770
2000,Jamaica,1736894,5273297
2000,Turks and Caicos Islands,24462,0
2000,Cayman Islands,116859,41526
2000,Haiti,208490,1554059
2000,Dominican Republic,5740259,30294212
2000,British Virgin Islands,120685,207677
2000,St Kitts and Nevis,20358,0
2000,Antigua and Barbuda,74565,112211
2000,Dominica,28432,4194
2000,St Lucia,252535,36419
2000,St Vincent and the Grenadines,64136,0
2000,Grenada,29427,2539935
2000,Barbados,799855,6436
2000,Trinidad and Tobago,2435244,880086
2000,Netherlands Antilles,2560535,0
2000,Aruba,2099097,0
2000,Guadeloupe,7750,0
2000,Martinique,17479,0
2000,Colombia,2864817,469281066
2000,Venezuela,6265579,6282301
2000,Guyana,129154,5834
2000,Suriname,62358,139600
2000,French Guiana,3250,0
2000,Ecuador,1304773,51297021
2000,Peru,1626042,100704867
2000,Bolivia,380748,1193722
2000,Chile,2090540,20765515
2000,Brazil,7036770,394100307
2000,Paraguay,97435,418435
2000,Uruguay,2522234,79012
2000,Argentina,2214051,38070982
2000,Iceland,862184,0
2000,Sweden,1625200,30835677
2000,Norway,332698,261666
2000,Finland,2419907,495541
2000,Denmark,366839,3157326
2000,United Kingdom,12090964,83941546
2000,Ireland,3115101,11751256
2000,Netherlands,6087306,125746602
2000,Belgium,4805902,51768434
2000,France,3004621,39692178
2000,Germany,10619288,132544407
2000,Austria,8316,614841
2000,Czech Republic,70581,49983
2000,Slovakia,5600,0
2000,Hungary,121205,983025
2000,Switzerland,1725347,34777648
2000,Estonia,183795,0
2000,Latvia,977761,237151
2000,Lithuania,191852,0
2000,Poland,122398,5459612
2000,Russia,2033055,861338
2000,Ukraine,904909,42436
2000,Azerbaijan,0,13139
2000,Georgia,21079,563444
2000,Kyrgyzstan,0,5226
2000,Moldova,0,57387
2000,Spain,2014488,23597190
2000,Portugal,419355,628020
2000,Gibraltar,0,11230
2000,Malta,3878,0
2000,Italy,4711544,32376426
2000,Croatia,0,1311078
2000,Slovenia,160850,87291
2000,Bosnia and Herzegovina,0,74230
2000,Macedonia,0,91479
2000,Greece,456688,2184902
2000,Romania,12424,27218
2000,Bulgaria,7992,368213
2000,Turkey,345890,20217406
2000,Cyprus,8884,57691
2000,Syria,0,8297632
2000,Lebanon,408926,729580
2000,Iran,0,47133
2000,Israel,7942812,13883293
2000,Jordan,205311,87395
2000,Kuwait,1093325,0
2000,Saudi Arabia,7446136,105935
2000,Qatar,169276,0
2000,United Arab Emirates,2865609,192545
2000,Yemen,58574,3365388
2000,Oman,287184,0
2000,Bahrain,161144,0
2000,India,1248501,156913300
2000,Pakistan,108153,1995433
2000,Nepal,0,8213
2000,Bangladesh,0,10865
2000,Sri Lanka,748617,22287677
2000,Burma,0,30874
2000,Thailand,2654743,31810002
2000,Vietnam,42120,149434995
2000,Cambodia,58604,0
2000,Malaysia,3338986,70672854
2000,Singapore,11314697,26504962
2000,Indonesia,914193,379604134
2000,Brunei,153790,0
2000,Philippines,18198247,1687872
2000,Macau,2770,13538
2000,Bhutan,0,88128
2000,China,8611589,72536874
2000,Mongolia,26802,0
2000,"Korea, South",29279226,4936197
2000,Hong Kong,11909405,3797103
2000,Taiwan,14321130,4558870
2000,Japan,55025886,7772415
2000,Australia,19715992,637842
2000,Norfolk Island,2682,0
2000,Papua New Guinea,2598,23095732
2000,New Zealand,2184522,17216
2000,Tokelau,0,13380
2000,Samoa,0,11042
2000,Pitcairn Islands,4563,0
2000,New Caledonia,50368,0
2000,French Polynesia,276577,538096
2000,Marshall Islands,51561,0
2000,Micronesia,76572,0
2000,Palau,152314,0
2000,Fiji,0,384587
2000,Tonga,2675,458605
2000,Morocco,30942,822057
2000,Tunisia,157943,37772
2000,Egypt,336402,3111730
2000,Cameroon,0,7047785
2000,Guinea,28465,178551
2000,Cote d'Ivoire,596322,275330523
2000,Ghana,81594,71855662
2000,Niger,0,17693
2000,Togo,0,375237
2000,Nigeria,16330,667572
2000,Central African Republic,0,99440
2000,St Helena,28813,0
2000,Benin,30637,0
2000,Angola,22279,0
2000,Congo (Brazzaville),107983,622004
2000,Liberia,79865,0
2000,Burundi,0,8209610
2000,Rwanda,0,2453880
2000,Ethiopia,0,14751679
2000,Uganda,0,16305696
2000,Kenya,12756,26082728
2000,Tanzania,7408,2721017
2000,Mauritius,0,44640
2000,Madagascar,0,34320292
2000,Comoros,0,3261338
2000,Reunion,0,101829
2000,South Africa,385422,2209171
2000,Namibia,20100,0
2000,Botswana,0,3676
2000,Zambia,0,468077
2000,Swaziland,0,13671
2000,Zimbabwe,0,1874035
2000,Malawi,0,11579015
2001,Canada,561385301,637330582
2001,Mexico,290018009,268133990
2001,Guatemala,3853099,189257640
2001,Belize,615080,66448
2001,El Salvador,5205642,39206717
2001,Honduras,2111504,39652708
2001,Nicaragua,791796,38466087
2001,Costa Rica,4189681,108458099
2001,Panama,8777009,10663266
2001,Bermuda,1008904,0
2001,Bahamas,1366225,79342
2001,Jamaica,2591726,5868238
2001,Turks and Caicos Islands,14373,0
2001,Cayman Islands,321820,0
2001,Haiti,165990,1672984
2001,Dominican Republic,4274696,39293954
2001,Anguilla,12932,0
2001,British Virgin Islands,20161,36413
2001,St Kitts and Nevis,12100,0
2001,Antigua and Barbuda,35050,52111
2001,Dominica,46875,3207
2001,St Lucia,238440,31967
2001,St Vincent and the Grenadines,136360,0
2001,Grenada,79385,1757430
2001,Barbados,1126418,8619
2001,Trinidad and Tobago,2143929,732793
2001,Netherlands Antilles,668418,0
2001,Aruba,1817457,0
2001,Guadeloupe,2329885,0
2001,Martinique,601207,0
2001,Colombia,6508370,341818523
2001,Venezuela,7685054,1945745
2001,Guyana,367179,0
2001,Suriname,127858,0
2001,Ecuador,630253,48765594
2001,Peru,2874949,59500483
2001,Bolivia,334225,1128521
2001,Chile,2567615,17790466
2001,Brazil,10369651,296675286
2001,Paraguay,50025,188279
2001,Uruguay,2279460,87685
2001,Argentina,1952411,43942470
2001,Iceland,1126727,2719
2001,Sweden,1346848,27041882
2001,Norway,524550,227799
2001,Finland,2577055,566351
2001,Denmark,478970,3559242
2001,United Kingdom,18022287,81600261
2001,Ireland,3310944,15748227
2001,Netherlands,5482997,148079374
2001,Belgium,2267121,58438479
2001,Luxembourg,0,22015
2001,Monaco,0,12118
2001,France,6650417,43261388
2001,Germany,26645074,126006266
2001,Austria,8000,3924079
2001,Czech Republic,22724,42814
2001,Slovakia,14560,35640
2001,Hungary,280416,970080
2001,Switzerland,13923765,41338352
2001,Estonia,139719,4392
2001,Latvia,440314,451255
2001,Lithuania,160251,31525
2001,Poland,38715,6670683
2001,Russia,3160214,1235350
2001,Belarus,0,95673
2001,Ukraine,738899,157101
2001,Armenia,0,31321
2001,Georgia,63368,1180617
2001,Moldova,0,6610
2001,Uzbekistan,7703,0
2001,Spain,1330018,22135255
2001,Portugal,268035,571992
2001,Malta,12501,0
2001,Italy,1783320,36113173
2001,Croatia,0,1232455
2001,Slovenia,11038,141091
2001,Bosnia and Herzegovina,4050,132939
2001,Macedonia,0,121185
2001,Montenegro,0,48690
2001,Albania,23420,150723
2001,Greece,363116,2620316
2001,Romania,23918,0
2001,Bulgaria,0,2134170
2001,Turkey,474439,20824375
2001,Cyprus,25922,105346
2001,Syria,71100,7735915
2001,Lebanon,765369,718470
2001,Iran,0,321656
2001,Israel,6898367,15059636
2001,Jordan,82798,214631
2001,Kuwait,2758949,0
2001,Saudi Arabia,9183756,47237
2001,Qatar,572272,0
2001,United Arab Emirates,5625608,76405
2001,Yemen,7383,4251355
2001,Oman,92174,0
2001,Bahrain,608225,0
2001,Afghanistan,140355,0
2001,India,860234,100584836
2001,Pakistan,66281,2409556
2001,Bangladesh,3095,9951
2001,Sri Lanka,637438,19956732
2001,Burma,0,42429
2001,Thailand,3441067,21948642
2001,Vietnam,521867,107449517
2001,Cambodia,25190,0
2001,Malaysia,4319443,59359941
2001,Singapore,13221582,16284556
2001,Indonesia,2262556,377813798
2001,Brunei,142175,0
2001,Philippines,11112334,2566899
2001,Macau,58500,56500
2001,China,8640767,68337306
2001,"Korea, South",21841815,4370470
2001,Hong Kong,13108560,3039556
2001,Taiwan,16788308,4289683
