country,type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Honduras,Other Milds,67.66,116.88,93.26,61.48,54.29,34.32,37.06,41.73,50.23,78.69,80.82,81.63,90.56,83.72,125.16,200.18,145.28,109.57,132.26,128.77
India,Other Milds,78.32,130.18,99.47,67.44,63.75,43.82,39.61,43.45,58.32,96.53,95.86,108.03,121.7,136.89,151.08,228.46,161.98,117.06,175.65,157.1
Jamaica,Other Milds,332.11,286.78,215.45,177.27,208.44,169.59,237.6,185.62,185.42,244.69,354.89,343.06,348.48,295.97,286.82,302.69,301.44,,,
Madagascar,Other Milds,94.72,58.74,50.35,43.49,155.83,64.59,72.5,86.58,46.82,50.8,,,,,,,,,,
Malawi,Other Milds,95.66,108.75,101.52,77.64,57.6,46.42,39.79,39.62,51.68,83.71,84.58,80.36,76.23,91.31,96.35,,,,,
Mexico,Other Milds,123.44,136.12,101.69,80.9,64.08,53.98,45.08,64.02,90.78,139.03,85.5,90.91,106.05,,,,,,,
Nicaragua,Other Milds,,,,,,29.65,30.15,34.42,40.87,52.88,58.66,64.36,71.02,71.02,78.54,91.03,60.84,39.52,71.85,
Panama,Other Milds,100.91,126.55,111.76,,,,,,,,,,,,,,,,,
Papua New Guinea,Other Milds,95.02,153.74,104.85,60.82,49.28,32.97,31.66,36.99,41.1,62.26,71.28,76.69,111.78,72.75,94.89,141.24,98.82,61.99,86.31,66.52
Peru,Other Milds,77.7,105.28,75.43,59.73,53.86,34.77,29.52,32.93,42.43,69.47,,,,,,,,,,
Rwanda,Other Milds,55.44,56.42,55.65,45.33,34.08,23.26,17.88,24.89,29.46,46.25,,,,,,,,,,
Sri Lanka,Other Milds,,,,,,,,,,,,,,,,,,,,
Uganda,Other Milds,53,79.38,71.38,43.37,41,27.51,27.52,28.64,35.99,57.86,55.34,65.01,73.32,60.54,87.23,147.03,93.68,70.03,103.7,81.27
Venezuela,Other Milds,,,,,,,,,,,,,,,,,,,,
Zambia,Other Milds,81.47,121.89,130.83,119.7,91.86,65.73,60.01,52.97,64.44,87.18,100.18,106.45,126.7,116.54,120.15,84.79,,,,
Zimbabwe ,Other Milds,,,,,,,,,,,,,,,,,,,,
Angola,Brazilian Naturals,,,,,,,,,,,,,,,,,57.02,37.64,54.61,45.81
Brazil,Brazilian Naturals,96.35,145.41,105.25,74.07,65.98,37.05,30.91,42.82,56.33,87.09,87.02,98.3,109.26,100.8,134,224.26,152.29,102.14,134.7,104.5
Ethiopia,Brazilian Naturals,67.74,91.06,91.86,65.64,56.42,43.78,26.88,34.57,48.85,64.23,58.32,69.83,71.71,77.06,85.46,145.46,102.79,75.98,,
Indonesia,Brazilian Naturals,,112.26,99.41,,68.41,53.61,59.66,42.05,80.62,117.04,107.52,117.99,,,,,,,,
Philippines,Brazilian Naturals,76.31,79.74,81.87,64.89,37.04,49.36,21.74,60.63,66.23,80,61.51,81.37,95.52,,,,262.01,,,
Thailand,Brazilian Naturals,,,,,,,,,,,,,,,,,,203.44,113.33,124.58
Vietnam,Brazilian Naturals,,,,,,,,,,,,,,,,,84.47,,,
Angola,Robustas,,,,,51.74,18.61,10.71,6.61,9.92,10.42,12.98,36.05,42.3165,40.14,44.39,48.29,47.51,31.37,46.15,38.18
Benin,Robustas,,,,,,,,,,,,,,,,,,,,
