"Country","Year","Cocoa","Tea","Chocolate","Spices","Coffee"
"Belgium",2012,2481828,706809,124415855,52417,3304107
"Belgium",2013,2735353,278853,126909157,103820,3073519
"Belgium",2014,3484423,501100,133830682,58178,5540725
"Belgium",2015,2895312,244622,128118662,57860,5647476
"Belgium",2016,3676048,185782,144383617,27535,4521530
"Belize",1996,0,0,0,7772,125141
"Belize",1997,0,0,0,36928,0
"Belize",1998,0,0,0,136241,29229
"Belize",1999,0,0,0,116320,9850
"Belize",2000,0,0,0,24300,0
"Belize",2001,0,0,0,35048,31400
"Belize",2002,0,0,4150,26521,23095
"Belize",2003,0,0,0,16889,0
"Belize",2008,0,0,0,0,15241
"Belize",2009,0,4475,0,0,0
"Belize",2011,22260,0,0,0,6956
"Belize",2012,64449,0,0,24377,0
"Belize",2013,69359,0,0,0,0
"Belize",2014,131338,0,0,0,0
"Belize",2015,210176,0,0,0,0
"Belize",2016,324918,0,0,0,0
"Benin",2016,0,0,0,14520,0
"Bermuda",1996,0,0,0,0,5573
"Bhutan",2000,0,0,0,0,88128
"Bolivia",1996,0,0,0,1414,364530
"Bolivia",1997,0,0,0,3442,2272883
"Bolivia",1998,0,0,6234,0,899061
"Bolivia",1999,0,0,0,0,1380111
"Bolivia",2000,0,0,0,0,1193722
"Bolivia",2001,0,0,0,0,1128521
"Bolivia",2002,0,0,21196,3443,1949382
"Bolivia",2003,18232,0,0,2865,2568215
"Bolivia",2004,7671,0,0,9256,2111067
"Bolivia",2005,5799,0,0,0,3297312
"Bolivia",2006,17311,40308,0,0,3295347
"Bolivia",2007,34578,24727,0,41124,3767979
"Bolivia",2008,24180,3214,0,16282,5137542
"Bolivia",2009,12733,20226,6359,25633,5303754
"Bolivia",2010,0,18057,5161,12246,4030783
"Bolivia",2011,87518,11365,38054,19411,5872159
"Bolivia",2012,13800,18693,39520,9902,5558496
"Bolivia",2013,91303,17175,40345,13657,4832608
"Bolivia",2014,0,14726,0,24967,5360053
"Bolivia",2015,209575,0,0,16317,3068947
"Bolivia",2016,158400,10029,7905,26175,3048747
"Bosnia and Herzegovina",1996,0,0,0,36850,0
"Bosnia and Herzegovina",2000,0,7898,44345,0,21987
"Bosnia and Herzegovina",2001,0,30422,46932,9997,45588
"Bosnia and Herzegovina",2002,0,15232,14117,0,197311
"Bosnia and Herzegovina",2003,0,41336,32002,0,413451
"Bosnia and Herzegovina",2004,0,17615,10775,5822,424640
"Bosnia and Herzegovina",2005,0,63524,0,10301,718461
"Bosnia and Herzegovina",2006,0,73240,0,21171,974539
"Bosnia and Herzegovina",2007,7038,43675,14554,15836,740880
"Bosnia and Herzegovina",2008,0,73073,0,17055,1086649
"Bosnia and Herzegovina",2009,0,40944,0,9146,1064124
"Bosnia and Herzegovina",2010,4242,95453,0,26288,1381999
"Bosnia and Herzegovina",2011,0,0,15472,18863,1017137
"Bosnia and Herzegovina",2012,0,0,0,36176,1620244
"Bosnia and Herzegovina",2013,0,0,0,38049,1667789
"Bosnia and Herzegovina",2014,0,0,5419,28865,1756395
"Bosnia and Herzegovina",2015,0,0,3291,20270,1720377
"Bosnia and Herzegovina",2016,4688,2306,0,31867,1724265
"Botswana",2000,0,0,0,3676,0
"Brazil",1996,86421573,2981776,3735765,17268761,331285241
"Brazil",1997,35807907,2337754,6065460,22055630,506687540
"Brazil",1998,38685010,3173351,5594391,34721259,422690999
"Brazil",1999,20718397,3221988,3831769,39088460,531551896
"Brazil",2000,36457881,3035799,5372363,42538714,306695550
"Brazil",2001,36778273,3358119,7634576,37946102,210958216
"Brazil",2002,40110113,3272508,8688310,29309962,255005254
"Brazil",2003,94011785,2655679,36397188,30708471,334666581
"Brazil",2004,90305657,2854453,39559312,37290380,381815661
"Brazil",2005,103649165,3294416,54355311,35356856,558759833
"Brazil",2006,116133807,3500894,38253493,42416449,628354167
"Brazil",2007,96088986,4462885,20127169,47194095,725777449
"Brazil",2008,104116086,4763903,17052272,30857723,859416388
"Brazil",2009,50211729,5152033,10969803,35381711,863098728
"Brazil",2010,66428118,6036793,5228587,41516725,1199474246
"Brazil",2011,70170774,6867679,4928659,75592943,2092104491
"Brazil",2012,45891905,5888432,5360710,64418940,1498638152
"Brazil",2013,21631260,5607087,3278710,93963338,1223650336
"Brazil",2014,51361660,6246403,3083490,110613029,1469733947
"Brazil",2015,96614849,6251491,2872007,149465411,1466021183
"Brazil",2016,108192387,6199142,2604143,104872519,1185096407
"British Indian Ocean Territories",2002,97455,0,0,20989,0
"British Indian Ocean Territories",2003,101325,0,0,0,0
"British Virgin Islands",1996,0,0,0,1752,443590
"British Virgin Islands",1997,0,0,0,0,3416187
"British Virgin Islands",1998,0,0,0,0,66073
"British Virgin Islands",1999,0,0,0,4579,177736
"British Virgin Islands",2000,0,0,0,0,207677
"British Virgin Islands",2001,0,0,0,0,36413
"British Virgin Islands",2002,0,0,0,0,306383
"British Virgin Islands",2003,0,0,0,0,43958
"British Virgin Islands",2005,0,0,0,6110,0
"British Virgin Islands",2007,0,0,0,3492,0
"British Virgin Islands",2008,0,0,0,7632,0
"British Virgin Islands",2011,0,0,0,2314,0
"British Virgin Islands",2014,0,0,0,7083,0
"Brunei",2003,0,0,0,0,32648
"Brunei",2013,0,0,0,0,19768
"Brunei",2015,0,0,0,0,12615
"Brunei",2016,0,0,0,0,121886
"Bulgaria",1996,0,0,0,738526,0
"Bulgaria",1997,0,0,0,343671,0
"Bulgaria",1998,0,0,0,284547,111282
"Bulgaria",1999,0,0,60149,177852,0
"Bulgaria",2000,0,0,105802,262411,0
"Bulgaria",2001,0,2415,1724358,407397,0
"Bulgaria",2002,0,6984,651114,361206,3910
"Bulgaria",2003,0,7021,354516,282716,0
"Bulgaria",2004,0,3490,106842,323125,0
"Bulgaria",2005,0,3333,40934,305084,0
"Bulgaria",2006,0,2895,95306,241918,4888
"Bulgaria",2007,0,0,94806,212423,2593
"Bulgaria",2008,0,0,33581,464272,2766
"Bulgaria",2009,0,7286,44452,1077196,151279
"Bulgaria",2010,0,4512,37380,890696,15682
"Bulgaria",2011,0,6873,304776,893317,30665
"Bulgaria",2012,0,8071,92639,690285,44510
"Bulgaria",2013,0,40369,77266,623991,149180
"Bulgaria",2014,0,33912,112255,695319,74475
"Bulgaria",2015,0,27907,1326636,683264,290828
"Bulgaria",2016,0,34091,1458426,640811,201939
"Burkina Faso",2003,0,0,0,0,105906
"Burkina Faso",2004,0,0,0,43428,0
"Burkina Faso",2013,0,0,0,5176,120076
"Burma",1996,0,38757,0,0,0
"Burma",1998,0,0,0,0,41191
"Burma",1999,0,0,0,0,69133
"Burma",2000,0,3042,0,11641,16191
"Burma",2001,0,0,0,42429,0
"Burma",2013,0,0,0,73384,0
"Burma",2014,0,0,0,177923,0
"Burma",2015,0,265141,0,192905,61117
"Burma",2016,0,157533,3733,174413,301728
"Burundi",1996,0,0,0,0,517389
"Burundi",1997,0,0,0,0,14228125
"Burundi",1998,0,0,0,0,6595103
"Burundi",1999,0,0,0,0,6225508
"Burundi",2000,0,27353,0,0,8182257
"Burundi",2001,0,0,0,0,2671960
"Burundi",2002,0,0,0,0,744931
"Burundi",2003,0,0,0,0,6472985
"Burundi",2004,0,10379,0,0,204231
"Burundi",2005,0,0,0,0,4684240
"Burundi",2006,0,0,0,0,1899611
"Burundi",2007,0,0,0,0,1125213
"Burundi",2008,0,0,0,0,2933746
"Burundi",2009,0,0,0,0,4176482
"Burundi",2010,0,0,0,0,3408361
"Burundi",2011,0,0,0,0,9764790
"Burundi",2012,0,0,0,0,4887196
"Burundi",2013,0,43123,0,0,4210559
"Burundi",2014,0,0,0,0,4369855
"Burundi",2015,0,0,0,0,8627765
"Burundi",2016,0,0,0,0,6224588
"Cabo Verde",2010,0,0,0,0,32782
"Cabo Verde",2015,0,0,0,0,203575
"Cabo Verde",2016,0,0,0,0,57843
"Cambodia",2002,0,0,0,0,9744
"Cambodia",2005,0,0,0,2815,0
"Cambodia",2010,0,0,0,12019,0
"Cambodia",2011,0,0,0,0,7440
"Cambodia",2012,0,0,0,18305,6805
"Cambodia",2013,0,0,0,12588,10352
"Cambodia",2014,0,0,0,9347,0
"Cambodia",2015,0,0,0,35750,0
"Cambodia",2016,0,0,0,110550,5104
"Cameroon",1996,2003955,25201,0,0,7587922
"Cameroon",1997,1116389,38788,0,0,6965194
"Cameroon",1998,1727130,27184,0,0,2777174
"Cameroon",1999,1469855,21581,0,11830,1606523
"Cameroon",2000,4481278,2228,0,0,2564279
"Cameroon",2001,1432428,8446,0,0,1411720
"Cameroon",2002,14431861,0,0,0,1301152
"Cameroon",2003,18891553,0,0,0,314326
"Cameroon",2004,13523184,0,0,0,905830
"Cameroon",2005,16424529,0,27864,0,2469636
"Cameroon",2006,15337789,0,0,8727,1031003
"Cameroon",2007,10388626,0,0,5274,4129179
"Cameroon",2008,7568940,0,0,0,340285
"Cameroon",2009,11585409,0,0,6359,2292373
"Cameroon",2010,32409397,0,9069,11074,6346682
"Cameroon",2011,37262924,0,28909,42745,11978590
"Cameroon",2012,35420269,0,2463,12173,17534117
"Cameroon",2013,23641286,0,11729,0,2282321
"Cameroon",2014,15517180,0,0,6538,3887893
"Cameroon",2015,16636671,0,40410,9143,1461945
"Cameroon",2016,21769808,0,45797,8463,2362823
"Canada",1996,6503048,17269858,259042297,4307947,71632171
"Canada",1997,8163341,26626334,312473966,4919439,80948136
"Canada",1998,14650727,28926094,337520500,4442030,143104943
"Canada",1999,12986632,37618189,337267086,5143559,135567008
"Canada",2000,13703324,46795699,382056649,4894382,131013963
"Canada",2001,13611607,52607133,448566143,5665732,116879967
"Canada",2002,12025170,54379929,520001298,6511211,117739856
"Canada",2003,18769846,54416031,692350583,5180376,114160167
"Canada",2004,16372657,64342030,712174104,5457039,117502272
"Canada",2005,13417621,62933851,705631898,5447253,134283744
"Canada",2006,18986505,66533560,696173917,4816718,137188658
"Canada",2007,16092081,69650829,715710990,6454693,132101697
"Canada",2008,15823505,75312600,747874433,9271118,147704618
"Canada",2009,17002292,93326731,636347745,9563106,184043283
"Canada",2010,32941470,105871410,846483748,9109807,278557441
"Canada",2011,30212603,109481773,918409798,6419094,416694450
"Canada",2012,27977780,106316146,968876427,6050340,423582123
"Canada",2013,34251590,102002483,1018019963,6530857,399349783
"Canada",2014,22492718,88339344,1161682312,8640507,397165551
"Canada",2015,28785150,86614382,1300044587,8985543,440952512
"Canada",2016,32632422,89459564,1423642430,8097322,490293881
"Cayman Islands",1996,0,0,0,0,53218
"Cayman Islands",1997,0,37495,0,0,83259
"Cayman Islands",1998,0,0,0,0,131530
"Cayman Islands",2000,0,0,0,0,41526
"Cayman Islands",2005,0,9910,0,0,0
"Cayman Islands",2009,0,0,0,0,6919
"Cayman Islands",2012,0,55617,0,0,0
"Cayman Islands",2013,0,30216,0,0,0
"Cayman Islands",2016,0,0,0,0,9465
"Central African Republic",1999,0,105864,0,0,0
"Central African Republic",2000,0,0,0,0,99440
"Central African Republic",2001,0,2215,0,0,0
"Central African Republic",2002,0,0,0,0,2576
"Central African Republic",2010,0,19209,0,0,0
"Central African Republic",2012,0,0,0,0,380610
"Central African Republic",2016,380507,0,0,0,0
"Chad",2004,0,0,0,0,217858
"Chile",1996,0,4844922,2646695,11615040,0
"Chile",1997,0,2113303,2153572,11772720,0
"Chile",1998,0,4621516,4222764,12747766,0
"Chile",1999,0,2805270,4360964,11168272,3546
"Chile",2000,0,2112104,4881094,13738427,33890
"Chile",2001,0,2451385,4304054,10980923,54104
"Chile",2002,0,3777620,3514465,10903480,117706
"Chile",2003,0,4555907,2236193,11470174,53974
"Chile",2004,7801,8031460,2326188,12406726,262206
"Chile",2005,5646,6054689,6169715,7629350,67181
"Chile",2006,0,4970253,8180519,11830852,9991
"Chile",2007,0,6286687,4924843,5345434,105739
"Chile",2008,0,7000623,2941452,5280379,161998
"Chile",2009,3019,7738314,1452021,4968772,36114
"Chile",2010,0,8294118,918268,4818261,100493
"Chile",2011,0,8181869,660146,4032702,86768
"Chile",2012,0,9049116,379002,3104257,3862
"Chile",2013,0,7467783,40235,710620,145590
"Chile",2014,0,10605270,6492,453589,2692
"Chile",2015,67898,10264015,31107,489607,278675
"Chile",2016,0,12911512,72982,966054,108467
"China",1996,37206551,31459345,61464,10988218,18779
"China",1997,50682877,28703096,36775,14834179,1355056
"China",1998,33910685,33552171,166190,18908403,441479
"China",1999,22170684,27287265,95276,23054919,922248
"China",2000,18286062,23237156,303446,29767079,943131
"China",2001,11241976,24291687,489395,31873167,441081
"China",2002,9770704,30417861,668670,34832962,1510287
"China",2003,12079815,39040091,991504,44220836,988827
"China",2004,18509432,42400477,4812659,60903299,961499
"China",2005,37950550,52103530,6488123,60314176,872206
"China",2006,40179116,65402336,10436886,55452760,1997819
"China",2007,31421684,75699610,11837834,69754519,1812460
"China",2008,54541891,85578802,13198229,91737661,3532245
"China",2009,4743215,70969677,8372522,86989639,3212692
"China",2010,2758163,87492031,4297336,115218897,29974968
"China",2011,1845999,109272826,3792374,129899440,27674503
"China",2012,1445405,133075656,5753902,125383654,31433413
"China",2013,6771465,135072160,5418379,139830868,22507191
"China",2014,5193614,124498776,6971784,172418974,22693475
"China",2015,14860584,130868797,7734233,167455824,28978030
"China",2016,18572105,142779406,7466394,155159654,34582383
"Cocos (Keeling) Islands",2007,0,0,0,4809,0
"Cocos (Keeling) Islands",2015,0,0,0,0,14170
"Colombia",1996,5223439,36049,887472,589499,523708975
"Colombia",1997,10478535,17570,1093033,447255,800197335
"Colombia",1998,5091556,0,1507250,909921,703216431
"Colombia",1999,7536663,0,1523475,527275,532579646
"Colombia",2000,2446867,47948,1555325,449803,464781123
"Colombia",2001,5256378,0,3039894,756579,332765672
"Colombia",2002,2544774,0,3383127,3273557,343605532
"Colombia",2003,5021189,17942,2718080,3356736,390664769
"Colombia",2004,7269157,122781,3218344,5040811,422650753
"Colombia",2005,6461833,2081,4265603,5695066,651510225
"Colombia",2006,323052,89933,4291018,7846374,645982553
"Colombia",2007,3333790,3478,4132644,7168105,721966537
"Colombia",2008,9022952,0,3896986,8001288,869635449
"Colombia",2009,7134445,31641,4954347,8935301,803773310
"Colombia",2010,7895226,466714,8619438,10631668,930423372
"Colombia",2011,4758537,6145,6685792,9673166,1474725957
"Colombia",2012,3125493,66574,5988244,5745964,1023592915
"Colombia",2013,5822417,49909,6373859,9629817,1039848250
"Colombia",2014,10981381,258637,11059060,8259198,1257866474
"Colombia",2015,6949746,32930,12699282,6510939,1332047129
"Colombia",2016,7069477,272431,14904506,5188193,1210153917
"Comoros",1996,0,0,0,2390058,0
"Comoros",1997,0,0,0,1450445,13386
"Comoros",1998,0,0,0,544981,0
"Comoros",1999,0,0,0,1693614,0
"Comoros",2000,0,0,0,3261338,0
"Comoros",2001,0,0,0,10404396,0
"Comoros",2002,0,0,0,5261462,0
"Comoros",2003,0,0,0,3971042,0
"Comoros",2004,0,0,0,16358487,0
"Comoros",2005,0,0,0,1381377,0
"Comoros",2006,0,0,0,1464565,0
"Comoros",2007,0,0,0,155175,0
"Comoros",2008,0,0,0,872359,0
"Comoros",2009,0,0,0,1072942,0
"Comoros",2010,0,0,0,1681965,0
"Comoros",2011,0,0,0,1820670,0
"Comoros",2012,0,0,0,1972124,0
"Comoros",2013,0,0,0,2801297,0
"Comoros",2014,0,0,0,2002342,0
"Comoros",2015,0,0,0,1082242,0
"Comoros",2016,0,0,0,2529136,0
"Congo (Brazzaville)",1997,0,0,0,0,144714
"Congo (Brazzaville)",1998,0,0,0,0,649707
"Congo (Brazzaville)",1999,0,0,0,0,998449
"Congo (Brazzaville)",2000,0,19251,0,0,602753
"Congo (Brazzaville)",2001,0,0,0,0,385079
"Congo (Brazzaville)",2002,0,0,0,0,140237
"Congo (Brazzaville)",2003,0,0,0,0,275207
"Congo (Brazzaville)",2004,0,0,0,0,83073
"Congo (Brazzaville)",2005,0,0,0,0,73004
"Congo (Brazzaville)",2006,0,0,0,0,147412
"Congo (Brazzaville)",2007,0,0,0,0,54194
"Congo (Brazzaville)",2008,0,0,0,0,75855
"Congo (Brazzaville)",2010,0,0,0,0,97225
"Congo (Brazzaville)",2011,0,0,0,0,254024
"Congo (Brazzaville)",2012,0,0,0,0,393645
"Congo (Brazzaville)",2013,0,0,0,0,105610
"Congo (Brazzaville)",2014,0,0,0,0,420443
"Congo (Brazzaville)",2015,0,0,0,0,397568
"Congo (Brazzaville)",2016,0,0,0,0,141204
"Congo (Kinshasa)",1997,0,0,0,0,279219
"Congo (Kinshasa)",1998,0,0,0,0,28450
"Congo (Kinshasa)",2003,0,0,0,0,493632
"Congo (Kinshasa)",2004,0,0,2643,0,569374
"Congo (Kinshasa)",2005,95213,0,0,0,98153
"Congo (Kinshasa)",2006,0,0,0,0,76740
"Congo (Kinshasa)",2007,0,0,0,0,258701
"Congo (Kinshasa)",2008,0,0,0,0,538443
"Congo (Kinshasa)",2009,0,0,0,0,100153
"Congo (Kinshasa)",2010,0,0,0,0,1377716
"Congo (Kinshasa)",2011,0,0,0,0,534102
"Congo (Kinshasa)",2012,82473,0,0,0,1889631
"Congo (Kinshasa)",2013,1344533,0,0,0,1400981
"Congo (Kinshasa)",2014,1263455,0,0,0,5085305
"Congo (Kinshasa)",2015,2431094,0,0,0,5031199
"Congo (Kinshasa)",2016,4082437,0,0,0,2682516
"Costa Rica",1996,6455063,6773,161626,7227009,82321012
"Costa Rica",1997,6660955,6349,0,4171287,137949757
"Costa Rica",1998,5471323,62100,0,3537418,159465847
"Costa Rica",1999,495982,410001,0,3609575,137010472
"Costa Rica",2000,287082,225447,14843,1886146,126237946
"Costa Rica",2001,421533,0,47663,1374094,106614809
"Costa Rica",2002,915588,5754,53051,1307072,125801174
"Costa Rica",2003,1551790,0,43423,1256203,129934502
"Costa Rica",2004,2794235,0,58789,2898626,152829449
"Costa Rica",2005,1727873,5487,7039,3310972,159965530
"Costa Rica",2006,906520,8750,15384,2274591,141161154
"Costa Rica",2007,205593,46826,175324,2610656,161666427
"Costa Rica",2008,251553,1104498,450077,2060151,196022742
"Costa Rica",2009,164387,2398930,323759,1981620,158431994
"Costa Rica",2010,252363,2544249,249676,3226417,165035641
"Costa Rica",2011,108126,2939152,150640,2653020,259163683
"Costa Rica",2012,432021,2864233,156958,2992447,262398669
