"Country","Year","Cocoa","Tea","Chocolate","Spices","Coffee"
"Afghanistan",1997,0,0,0,93792,0
"Afghanistan",1999,0,0,0,30000,0
"Afghanistan",2003,0,2311,0,0,0
"Afghanistan",2007,0,0,0,11389,0
"Afghanistan",2008,0,0,0,2474,0
"Afghanistan",2009,0,0,0,3154,0
"Afghanistan",2010,0,0,0,4363,0
"Afghanistan",2011,0,0,0,246205,0
"Afghanistan",2012,0,0,0,120467,0
"Afghanistan",2013,0,0,0,244756,0
"Afghanistan",2014,0,0,0,111169,0
"Afghanistan",2015,0,0,0,196380,0
"Afghanistan",2016,0,0,0,258961,0
"Albania",1996,0,0,0,105819,0
"Albania",1997,0,0,0,39330,0
"Albania",1998,0,0,0,61816,0
"Albania",1999,0,0,0,5226,0
"Albania",2001,0,0,0,150723,0
"Albania",2002,0,0,0,73553,0
"Albania",2003,0,0,0,77673,0
"Albania",2004,0,0,0,8296,0
"Albania",2005,0,0,0,49244,0
"Albania",2006,0,0,0,108767,0
"Albania",2007,0,0,0,273898,0
"Albania",2008,0,0,0,74756,0
"Albania",2009,0,0,0,430596,0
"Albania",2010,0,0,0,548705,0
"Albania",2011,0,0,0,518408,8000
"Albania",2012,0,0,0,1236335,17386
"Albania",2013,0,0,0,1051600,27398
"Albania",2014,0,28294,0,806868,51304
"Albania",2015,0,0,0,527031,38190
"Albania",2016,0,0,0,172022,18479
"Algeria",1998,0,0,0,0,1967966
"Algeria",1999,0,0,0,0,723891
"Algeria",2009,1381557,0,0,0,0
"Andorra",2012,0,0,0,2934,0
"Angola",2003,0,0,0,2890,0
"Angola",2016,0,0,0,0,44266
"Antigua and Barbuda",1996,0,16042,0,0,0
"Antigua and Barbuda",1997,0,61292,0,0,96973
"Antigua and Barbuda",1998,0,50223,0,0,0
"Antigua and Barbuda",1999,0,33832,0,0,0
"Antigua and Barbuda",2000,0,108236,0,3975,0
"Antigua and Barbuda",2001,0,16787,0,0,35324
"Antigua and Barbuda",2002,0,104350,2240,0,0
"Antigua and Barbuda",2003,0,0,0,0,11711
"Antigua and Barbuda",2011,0,18385,0,0,0
"Antigua and Barbuda",2012,0,66078,0,0,0
"Antigua and Barbuda",2013,0,184723,0,0,0
"Argentina",1996,0,23634276,2244587,14575,0
"Argentina",1997,0,28394041,2412754,232637,686129
"Argentina",1998,8871106,38922477,3151203,200562,196345
"Argentina",1999,4939176,35556629,2723549,94604,309700
"Argentina",2000,0,34080453,3712077,247835,30617
"Argentina",2001,0,38031666,5561445,302829,46530
"Argentina",2002,0,36340007,6469086,189570,42895
"Argentina",2003,0,28829211,5492457,16151,16531
"Argentina",2004,0,34508042,6428949,27815,210246
"Argentina",2005,0,40440516,4219547,22595,12837
"Argentina",2006,0,39910348,6141405,11982,775436
"Argentina",2007,0,44114008,4061528,42251,281502
"Argentina",2008,39384,50906687,1739620,87697,35048
"Argentina",2009,0,55621454,1213433,46491,2359
"Argentina",2010,0,69937633,939243,37262,14421
"Argentina",2011,0,76422008,705238,45262,249119
"Argentina",2012,0,84011687,734554,85695,247399
"Argentina",2013,0,93282693,560223,60349,34324
"Argentina",2014,0,91986246,227661,85759,13360
"Argentina",2015,0,89261826,384418,259976,21071
"Argentina",2016,0,80322873,432684,90632,33297
"Armenia",1996,0,0,0,0,54782
"Armenia",2001,0,0,31321,0,0
"Armenia",2002,0,0,42453,0,0
"Armenia",2003,0,0,16493,0,0
"Armenia",2004,0,0,18195,0,13805
"Armenia",2007,0,0,21277,0,0
"Armenia",2008,0,0,0,4294,0
"Armenia",2009,0,39980,0,0,0
"Armenia",2010,0,47717,80475,9513,0
"Armenia",2011,0,8063,154205,0,0
"Armenia",2012,0,0,91606,0,0
"Armenia",2013,0,0,78678,0,0
"Armenia",2014,0,0,97298,5347,0
"Armenia",2015,0,0,20147,3096,3357
"Armenia",2016,0,0,64057,0,0
"Australia",1996,0,18732,362484,78095,2331
"Australia",1997,0,6113,420086,52984,0
"Australia",1998,0,159202,310035,47706,6171
"Australia",1999,0,51106,294473,84207,0
"Australia",2000,0,0,386180,237740,13922
"Australia",2001,0,57528,449938,447418,119247
"Australia",2002,0,275995,548874,870580,33943
"Australia",2003,0,381792,943763,435345,77485
"Australia",2004,0,255492,1334883,358613,229128
"Australia",2005,0,254687,1457433,165163,128839
"Australia",2006,0,264388,780704,264826,439964
"Australia",2007,0,76647,1946697,178445,186288
"Australia",2008,3719,70312,1253028,246138,116269
"Australia",2009,0,47229,228862,154090,47841
"Australia",2010,0,267353,843158,138213,54209
"Australia",2011,0,33013,1970705,78357,43578
"Australia",2012,2776,80935,402593,77466,105656
"Australia",2013,0,23599,570978,27476,173303
"Australia",2014,0,88636,1058507,109201,344846
"Australia",2015,0,233958,1168889,54890,305960
"Australia",2016,0,151812,3382975,60953,578954
"Austria",1996,0,30833,538348,3124,322935
"Austria",1997,0,14723,540457,29419,1196851
"Austria",1998,0,39414,853413,39677,382762
"Austria",1999,0,27901,1973824,20159,326208
"Austria",2000,0,23177,465858,34596,91210
"Austria",2001,0,14921,3774186,88592,46380
"Austria",2002,0,31998,7395950,24090,260630
"Austria",2003,0,60197,5550762,0,208531
"Austria",2004,0,89155,6277197,11198,176582
"Austria",2005,0,10035,6920444,0,150118
"Austria",2006,4800,279265,6583708,10780,220665
"Austria",2007,0,361165,6751402,91223,222704
"Austria",2008,0,333084,8485621,46472,230361
"Austria",2009,2350,30465,8150995,2600,282004
"Austria",2010,4456,12711,9970638,78631,408176
"Austria",2011,4238,0,12226775,7223,500390
"Austria",2012,0,26117,12384020,93222,316433
"Austria",2013,0,48874,11891215,125051,78151
"Austria",2014,3293,126799,13045559,49579,312323
"Austria",2015,2813,8646,11261207,90008,288075
"Austria",2016,0,23967,10969993,138774,255404
"Azerbaijan",2000,0,0,8259,4880,0
"Azerbaijan",2007,0,6358,0,0,0
"Azerbaijan",2008,0,5713,0,0,0
"Azerbaijan",2009,0,0,19619,0,0
"Azerbaijan",2012,0,2348,0,0,0
"Azerbaijan",2013,9179,0,0,0,0
"Azerbaijan",2016,0,7303,0,0,0
"Bahamas",2000,0,54770,0,0,0
"Bahamas",2001,0,79342,0,0,0
"Bahamas",2002,0,73137,0,0,23200
"Bangladesh",1996,0,5503,0,1893,0
"Bangladesh",1997,0,8529,74792,40749,0
"Bangladesh",1998,0,11992,0,9178,0
"Bangladesh",1999,0,2639,0,0,0
"Bangladesh",2000,0,10865,0,0,0
"Bangladesh",2001,0,0,0,9951,0
"Bangladesh",2002,0,0,0,12128,0
"Bangladesh",2003,0,20242,0,8447,0
"Bangladesh",2004,0,30054,0,24624,0
"Bangladesh",2005,0,15892,0,81505,0
"Bangladesh",2006,0,80948,0,46407,0
"Bangladesh",2007,0,43322,0,65333,0
"Bangladesh",2008,0,64639,0,84223,0
"Bangladesh",2009,0,141482,0,101366,0
"Bangladesh",2010,0,236872,0,248168,0
"Bangladesh",2011,0,316183,6772,312655,52114
"Bangladesh",2012,0,317346,0,430586,0
"Bangladesh",2013,0,389810,3161,362637,0
"Bangladesh",2014,0,550113,0,355343,0
"Bangladesh",2015,0,506802,0,565514,0
"Bangladesh",2016,0,400301,0,373116,0
"Barbados",1996,0,5885,0,4668,0
"Barbados",1997,0,0,0,10425,0
"Barbados",1998,0,1888,0,3261,0
"Barbados",1999,0,0,0,4270,0
"Barbados",2000,0,0,0,6436,0
"Barbados",2001,0,0,0,8619,0
"Barbados",2002,0,0,0,23580,4887
"Barbados",2003,0,0,0,24533,0
"Barbados",2004,0,0,0,10957,5140
"Barbados",2005,0,0,0,9285,0
"Barbados",2006,0,0,0,20773,0
"Barbados",2007,0,0,0,11034,0
"Barbados",2008,0,0,0,32633,0
"Barbados",2009,0,0,0,32650,0
"Barbados",2010,0,0,0,9980,0
"Barbados",2011,0,0,0,28436,0
"Barbados",2012,0,0,0,36667,0
"Barbados",2013,0,0,0,61538,0
"Barbados",2014,0,0,0,49260,0
"Barbados",2015,0,0,0,107488,0
"Barbados",2016,0,0,0,43393,0
"Belarus",2001,0,0,95673,0,0
"Belarus",2002,0,0,233215,0,0
"Belarus",2003,0,0,203847,0,0
"Belarus",2004,0,0,392982,0,0
"Belarus",2005,0,0,476250,0,0
"Belarus",2006,0,0,216761,0,0
"Belarus",2007,0,0,274859,0,0
"Belarus",2008,0,0,293691,0,0
"Belarus",2009,0,0,266770,0,0
"Belarus",2010,0,0,305102,0,0
"Belarus",2011,0,0,750371,0,0
"Belarus",2012,0,0,1057453,0,0
"Belarus",2013,2533,4638,1300960,0,0
"Belarus",2014,0,11730,600789,0,0
"Belarus",2015,0,0,610280,0,7955
"Belarus",2016,4802,0,767982,0,0
"Belgium",1996,3826772,2265,25036049,36428,269514
"Belgium",1997,3868727,0,33752427,45234,388446
"Belgium",1998,3164101,0,38731031,5516,933822
"Belgium",1999,4590104,0,49506661,3260,1037905
"Belgium",2000,881873,37736,50141580,67497,639748
"Belgium",2001,491029,43460,56848743,34726,1020521
"Belgium",2002,430135,119184,53413462,34958,793268
"Belgium",2003,952867,132963,64455494,5620,867550
"Belgium",2004,508888,32590,74003868,85804,6210876
"Belgium",2005,458940,132445,80305974,96518,13266105
"Belgium",2006,601044,4648627,94428684,23685,12391655
"Belgium",2007,2063363,1287768,107740212,30736,12127962
"Belgium",2008,8063268,350107,93464143,27466,11132258
"Belgium",2009,3122337,218541,81784385,123731,4359527
"Belgium",2010,5675404,179892,92233132,145668,3963159
"Belgium",2011,2265769,238512,118762287,42815,8441207
