"Year","Commodity","Argentina","Australia","Austria","Barbados","Belgium","Bolivia","Bosnia and Herzegovina","Brazil","Bulgaria","Canada","Chile","China","Colombia","Costa Rica","Cote d'Ivoire","Croatia","Denmark","Dominican Republic","Ecuador","Egypt","El Salvador","Estonia","Fiji","Finland","France","Germany","Ghana","Greece","Guatemala","Haiti","Honduras","Hong Kong","Hungary","India","Indonesia","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kenya","Korea, South","Lebanon","Macedonia","Malaysia","Mexico","Montenegro","Netherlands","New Zealand","Nicaragua","Nigeria","Norway","Panama","Papua New Guinea","Peru","Philippines","Poland","Portugal","Russia","Saudi Arabia","Serbia","Singapore","South Africa","Spain","Sri Lanka","Sweden","Switzerland","Taiwan","Tanzania","Thailand","Trinidad and Tobago","Turkey","Uganda","Ukraine","United Kingdom","Venezuela","Vietnam"
1996,"Coffee",0,0,0,0,199987,0,0,57945037,0,10231136,0,6280,110917781,6021438,0,0,0,5721765,12521680,0,7100435,0,0,0,2865350,11406517,0,0,65432388,0,10343846,0,0,4832454,24238726,0,42945,2912274,172860,103684,0,0,54462,0,0,27005,125369546,0,5842623,0,844355,0,0,3485203,0,5623283,39930,51175,0,0,0,0,610721,0,37438,0,0,864637,0,0,5016290,45378,3967,0,0,276199,8346023,0
1997,"Coffee",0,0,0,0,250170,0,0,59584922,0,12433451,0,59717,110064656,13290910,0,0,0,9212933,7758258,0,17144290,0,0,0,8570350,16254959,0,0,88882030,0,7824680,0,0,907351,20221830,0,207191,2403106,403848,25133,0,0,79033,0,0,23506,139407972,0,5560183,0,1763546,0,0,3183005,0,2305432,14720,74104,0,0,0,0,352879,1658185,1502298,0,0,1193174,0,0,351286,13464,0,0,0,79195,3247135,29594102
1998,"Coffee",5861,0,0,0,85146,0,0,73785068,0,19764547,0,11118,155349214,24941972,0,0,0,7622959,9163846,0,11637290,0,4236,0,5562920,13988435,0,415696,73987021,64108,15205668,0,0,929017,23855525,0,219586,2350114,278939,25701,0,0,33970,0,0,20453,102054074,0,6154738,0,2829412,0,0,7802792,3097082,4352739,0,21202,0,0,0,0,463509,0,91009,0,0,192827,532712,0,346020,0,15959,0,0,936814,10089587,0
1999,"Coffee",0,0,0,0,23144,0,0,86642279,0,22638037,0,114658,108130574,14935543,0,0,130724,2596818,10677241,22948,9276178,0,0,0,2845632,13262964,0,0,61132120,0,9566996,0,0,772680,16176876,0,264718,3593302,522471,9651,0,0,21645,0,0,0,85277286,0,6526396,0,3689685,0,0,6287846,0,7496955,0,0,0,0,0,0,19481,219690,12284,0,0,783502,13051,0,441684,10250,6661,0,0,1028122,16799265,0
2000,"Coffee",7370,0,0,0,111986,0,0,60494934,0,22625247,0,13668,96447595,12181358,0,20012,0,2024352,3988473,22548,13950236,0,0,0,4964790,11025371,0,187567,48166044,0,8393452,3364,0,1201917,12523871,0,504138,3188233,384192,28906,0,0,34350,113296,0,26937,71118815,0,6047989,0,6413658,0,0,5078399,1722937,8117132,5534,0,0,0,0,0,76533,0,8451,0,0,1762053,4391,0,3833216,9699,0,0,0,1143865,3506892,0
2001,"Coffee",0,51272,0,0,115446,0,0,38228246,0,20536219,20251,0,74522042,9412107,0,62556,0,167822,1161350,17280,8444723,0,0,0,3278023,7712541,0,19041,23340833,0,4104590,0,0,611884,10971383,11847,727203,2878748,667446,27769,0,0,64309,0,0,27061,35814144,0,6117253,0,2916305,0,0,1726058,0,10183180,0,0,0,0,0,0,89871,35540,49033,0,0,2988952,3760,0,1478472,0,23207,0,0,1413340,0,0
2002,"Coffee",32963,0,0,0,129663,0,0,52087311,0,22100494,54259,47634,71396953,12894236,0,53914,0,548706,2399761,47208,2348504,0,0,7604,1173584,7026613,0,0,21704703,7503,1761802,0,0,396581,13176860,34518,74303,3742481,467510,37866,0,0,150462,0,0,99164,25402528,0,6319119,0,4016171,0,0,1382399,0,11278933,4480,81373,127588,3495,0,0,132782,0,20916,10767,0,2285766,37788,0,226872,12266,8838,0,0,676363,1781719,15210806
2003,"Coffee",2350,56098,0,0,409355,728178,0,68995109,0,18937231,50527,0,83183478,9102299,0,30832,0,521440,1607670,41455,6988402,0,0,0,1927703,10989605,0,192080,22529278,0,2120145,12705,0,810459,21490649,27792,229861,5022556,504291,23221,0,0,139924,0,0,84452,17489635,0,7518720,0,4677060,0,0,1411618,0,12838743,0,0,0,2658,0,0,173448,71117,30311,0,0,4865018,0,0,1575152,11554,0,0,0,1107764,0,0
2004,"Coffee",0,122989,0,5140,1255841,0,0,83166845,0,20820308,156058,121944,88790550,12746224,0,58927,32472,31279,2311514,37033,2780429,0,0,0,872343,14827194,0,2695,21317501,7598,3689570,0,0,702255,22784535,43223,472733,5384319,311778,188824,0,1154440,230776,18834,0,102337,21050127,0,7686974,0,3851550,0,0,1248861,0,21079317,20550,124734,0,0,0,0,163465,15457,152906,0,5410050,5927176,2517,0,713291,0,16619,0,0,1265725,0,0
2005,"Coffee",0,4999,0,0,1622585,0,0,101835949,0,22000923,0,21689,134252548,10620759,0,129620,0,78118,2283209,26880,5258361,0,0,0,677290,24316767,0,380954,26908026,0,5313148,5783,0,1130439,23958647,0,117363,6960360,228464,47123,0,0,437814,0,0,296436,24062579,54350,2690070,0,7005935,6647,0,1296492,0,20525099,9002,168924,29050,0,7581,0,116460,103195,0,0,0,5339693,25649,0,1926524,0,0,0,0,1469859,3544,0
