"Year","Country","Coffee","Tea","Spices","Chocolate","Cocoa"
1998,"Argentina",5861,5516401,0,555984,0
2000,"Argentina",7370,3427109,47619,353285,0
2002,"Argentina",32963,4648624,15784,1747397,0
2003,"Argentina",2350,3596158,7486,2281218,0
2006,"Argentina",91805,5680708,6511,2468870,0
2008,"Argentina",9369,6356924,26460,176913,0
2012,"Argentina",5824,9446519,27930,154665,0
2014,"Argentina",3438,12586823,32357,67626,0
2015,"Argentina",4154,12780898,5135,117687,0
2001,"Australia",51272,12696,195145,174692,0
2003,"Australia",56098,110044,13560,110521,0
2004,"Australia",122989,131778,55368,361737,0
2005,"Australia",4999,22672,30204,654414,0
2006,"Australia",30751,0,19023,71784,0
2010,"Australia",11667,63389,0,163644,0
2011,"Australia",12236,0,4455,116019,0
2012,"Australia",11484,7657,0,70086,0
2013,"Australia",29061,0,0,98522,0
2014,"Australia",131053,6038,0,193204,0
2015,"Australia",71726,0,29522,528670,0
2016,"Australia",66689,26564,2973,67976,0
2006,"Austria",94308,41620,10780,1239161,4800
2009,"Austria",4719,9123,0,1854204,2350
2010,"Austria",75447,0,0,2527093,0
2011,"Austria",78113,0,0,2001368,0
2013,"Austria",14460,33879,0,2141084,0
2014,"Austria",8096,0,4337,2570697,0
2015,"Austria",45866,0,0,1868092,0
2016,"Austria",71572,0,16594,1718366,0
2004,"Barbados",5140,0,8246,0,0
1996,"Belgium",199987,2265,1533,3178054,623084
1997,"Belgium",250170,0,14139,3659337,240518
1998,"Belgium",85146,0,0,5307156,425179
1999,"Belgium",23144,0,0,6223829,1249497
2000,"Belgium",111986,37736,0,6426890,353931
2001,"Belgium",115446,0,2538,7249636,10549
2002,"Belgium",129663,0,0,6618777,122920
2003,"Belgium",409355,0,0,9247926,188891
2004,"Belgium",1255841,4912,66368,9690691,59450
2005,"Belgium",1622585,5724,18142,9763387,96636
2006,"Belgium",1084301,341579,6101,12098595,69746
2007,"Belgium",2159633,68360,9359,16156120,102514
2008,"Belgium",1348289,43352,4772,13607093,276406
2009,"Belgium",1012279,29256,17233,8344652,193600
2010,"Belgium",1721160,22594,5151,14868593,1110048
2011,"Belgium",192236,43653,7086,19370441,446927
2012,"Belgium",1183226,72902,3067,21887499,527805
2013,"Belgium",761437,62626,12026,19187845,496236
2014,"Belgium",871981,97061,7900,22429815,634738
2015,"Belgium",844320,64441,12407,18943718,662986
2016,"Belgium",625457,20501,7943,17828482,194886
2003,"Bolivia",728178,0,0,0,0
2007,"Bolivia",1018822,5878,0,0,5996
2008,"Bolivia",1776064,3214,7675,0,0
2009,"Bolivia",1840229,0,2714,0,0
2011,"Bolivia",1311411,0,0,13496,84345
2012,"Bolivia",1588620,0,0,0,0
2013,"Bolivia",1664105,8066,0,0,87796
2015,"Bolivia",1188226,0,0,0,0
2016,"Bolivia",827290,0,11407,0,158400
2007,"Bosnia and Herzegovina",183633,0,12235,0,7038
1996,"Brazil",57945037,723442,1617735,1923037,20693006
1997,"Brazil",59584922,462006,2849149,1110076,9595705
1998,"Brazil",73785068,404155,3687698,1088195,11729080
1999,"Brazil",86642279,718930,8696784,795316,3374497
2000,"Brazil",60494934,629444,10212263,816796,4931041
2001,"Brazil",38228246,495458,8720646,1447773,6155167
2002,"Brazil",52087311,373779,6071389,1868718,8256496
2003,"Brazil",68995109,257040,7435650,7359810,11534037
2004,"Brazil",83166845,584776,9060584,7423148,15410882
2005,"Brazil",101835949,675377,9492780,9556403,17580198
2006,"Brazil",111792291,647096,11129281,6709824,16077850
2007,"Brazil",139767835,1279212,4693916,4589734,14113699
2008,"Brazil",165747458,890395,6983533,2812729,15838548
2009,"Brazil",160114482,1433158,7231331,2194791,8405005
2010,"Brazil",230095752,655374,7528740,1125168,7697888
2011,"Brazil",397944381,1095132,12304421,806118,12613112
2012,"Brazil",411277696,1673706,12337520,1220990,11467225
2013,"Brazil",231044947,1696358,28335073,1529473,5919761
2014,"Brazil",235401612,1205518,31058882,1669062,16538516
2015,"Brazil",240571287,783980,43278321,353351,20558433
2016,"Brazil",220382741,1053066,25521491,1220787,9934041
2011,"Bulgaria",9114,2665,172873,8441,0
2012,"Bulgaria",2855,2563,165939,22012,0
2013,"Bulgaria",87747,0,230080,0,0
2014,"Bulgaria",5607,0,208572,52714,0
2015,"Bulgaria",3999,4443,379863,298455,0
2016,"Bulgaria",53481,0,177939,752012,0
1996,"Canada",10231136,3708757,612353,42665858,701603
1997,"Canada",12433451,3439168,866333,55017203,819167
1998,"Canada",19764547,2252790,901973,42088429,1713564
1999,"Canada",22638037,4519835,1022818,55248513,1661237
2000,"Canada",22625247,5890077,928680,56549929,1581871
2001,"Canada",20536219,8713242,1148166,71179432,1704234
2002,"Canada",22100494,9666083,847846,86517147,1905651
2003,"Canada",18937231,9777493,1026001,110354970,2461420
2004,"Canada",20820308,12245757,858594,111866770,1706364
2005,"Canada",22000923,9938929,1047687,112704824,1824211
2006,"Canada",21904132,10407593,832926,102525722,2341975
2007,"Canada",21629792,9273606,1222274,108893405,2474846
2008,"Canada",22170709,12440923,1567242,109670749,2534771
2009,"Canada",29708904,12095824,1881551,103108252,2112189
2010,"Canada",47742306,15267140,1308339,123290373,3606829
2011,"Canada",66464861,14760017,744087,147313657,4248289
2012,"Canada",73872316,13987991,917167,151134534,5974830
2013,"Canada",72228810,12933213,1060734,166564295,4398040
2014,"Canada",67386035,10023711,1544905,194372711,3470005
2015,"Canada",68350134,8725448,1817726,190338599,5838854
2016,"Canada",78567485,9595939,1321855,225737156,4841135
2001,"Chile",20251,304217,932370,2174854,0
2002,"Chile",54259,621801,1474533,1960683,0
2003,"Chile",50527,1096301,882667,1232404,0
2004,"Chile",156058,1214777,1029683,1270524,0
2006,"Chile",2267,398121,560918,4916898,0
2007,"Chile",71825,627757,357597,1654397,0
2008,"Chile",77346,861618,466872,1568701,0
2009,"Chile",12525,1617793,290609,544475,0
2011,"Chile",86768,1005173,568073,133550,0
2012,"Chile",3862,2134284,49728,321266,0
2016,"Chile",93540,2107949,53312,11325,0
1996,"China",6280,5439880,3167010,19464,8683965
1997,"China",59717,6448452,2761389,5307,10226763
1998,"China",11118,6321640,3257006,44189,10878943
1999,"China",114658,4996945,5709939,25823,5588887
2000,"China",13668,4393125,5707274,130709,3197905
2002,"China",47634,4715395,7861947,342655,3742287
2004,"China",121944,8273982,13764506,1864937,3883078
2005,"China",21689,8436670,12345763,1331400,4561412
2006,"China",58800,9837921,12245223,2548592,8517646
2007,"China",420861,12532687,14101025,3096805,4590747
2008,"China",24799,13933524,16655012,5141203,7060452
2009,"China",22328,13740440,17979336,4344523,1543599
2010,"China",228821,14614481,21166727,1100973,537671
2011,"China",665168,21893613,28201607,605851,857620
2012,"China",1947282,23386109,28592528,2074343,601839
2013,"China",1742858,25944508,25170147,1969995,1540267
2015,"China",913224,23054781,27530769,2099952,0
2016,"China",2498475,23449107,29203306,2044731,1448140
1996,"Colombia",110917781,0,106638,205391,5364
1997,"Colombia",110064656,0,50883,300930,2180269
1998,"Colombia",155349214,0,63203,513226,1252641
1999,"Colombia",108130574,0,141085,381578,1096149
2000,"Colombia",96447595,0,58365,366565,0
2001,"Colombia",74522042,0,66033,849375,1053251
2002,"Colombia",71396953,0,397704,748586,208733
2003,"Colombia",83183478,14231,762550,384932,1067216
2004,"Colombia",88790550,84939,1082231,523524,956302
2005,"Colombia",134252548,0,1125764,1004066,1586198
2006,"Colombia",128958032,9252,1701061,779530,5325
2007,"Colombia",153173758,0,1438824,1041529,551912
2008,"Colombia",160462264,0,1429196,793764,2853752
2009,"Colombia",160374031,0,1746320,1009568,1206025
2010,"Colombia",204766943,55524,1705040,1113312,1149071
2011,"Colombia",348419503,0,1486482,1042091,51370
2012,"Colombia",223007633,22255,734673,1032475,188092
2013,"Colombia",199684709,8221,1531812,1236961,830088
2014,"Colombia",215751860,11052,1012079,2394989,1196513
2015,"Colombia",249854221,0,1207591,1279214,763115
2016,"Colombia",275647842,0,730207,2976457,642540
1996,"Costa Rica",6021438,0,2023352,32338,1139599
1997,"Costa Rica",13290910,0,979351,0,1360232
1998,"Costa Rica",24941972,62100,1034497,0,648736
1999,"Costa Rica",14935543,0,1058530,0,45660
2000,"Costa Rica",12181358,8121,593090,0,180447
