Year,Aruba,Afghanistan,Angola,Albania,United Arab Emirates,Armenia,Antigua and Barbuda,Australia,Austria,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,Congo (Brazzaville),Colombia,Comoros,Cabo Verde,Costa Rica,Curacao,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,Egypt,Spain,Estonia,Ethiopia,Finland,Fiji,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guyana,Hong Kong,Honduras,Croatia,Haiti,India,Hungary,Indonesia,Ireland,Iran,Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,St Kitts and Nevis,Korea,Kosovo,Kuwait,Laos,Lebanon,Liberia,Libya,St Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Macao,Morocco,Moldova,Madagascar,Maldives,Mexico,Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Portugal,Paraguay,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Serbia,South Sudan,Sao Tome and Principe,Suriname,Slovakia,Slovenia,Sweden,Swaziland,Sint Maarten (Dutch part),Seychelles,Syria,Chad,Togo,Thailand,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,Tanzania,Uganda,Ukraine,Uruguay,United States,St Vincent and the Grenadines,Venezuela,Vietnam,Vanuatu,West Bank and Gaza,Samoa,Yemen,South Africa,Congo (Kinshasa),Zambia,Zimbabwe
1996,64.5108131,,0.029712006,45.95003598,,52.5592167,,69.40903824,78.44528211,22.11508228,76.53369138,64.13966242,70.64540173,43.54556676,3.606643103,83.41184421,76.32745444,,77.91483002,51.9820846,42.42271836,60.82591277,92.72186894,61.63947496,32.4508828,71.52490421,76.35231826,89.12648364,,,66.95475156,69.61931958,59.64902155,34.19046511,,68.20668636,24.19665652,,69.01597086,61.06641721,81.66382268,,75.99918254,74.39422815,24.45744948,61.63041069,8.611408425,39.18686946,69.09283087,51.68454734,31.18277775,80.03756755,62.22665516,81.0671363,78.48047621,76.97459416,39.91076002,10.23753385,,46.84875504,45.75896051,47.88193515,61.66956001,70.73372204,39.93652244,46.40368976,95.23227384,28.40006055,62.86159125,16.31270419,40.99932791,35.46410327,20.934985,70.3045653,13.24188441,10.87865181,48.75216457,66.14656545,74.42503229,24.75541974,61.463175,101.2095296,28.52883694,27.55708169,22.08094683,46.16286029,60.81523024,63.14489949,,66.16526831,6.919461614,,,92.30790454,70.29684588,27.38632438,76.2054962,63.91034329,75.0778311,49.6357106,81.54831083,78.52869078,18.29873883,27.93027145,,35.4679901,73.61705165,75.11605022,71.42149955,6.451353606,,24.17066719,28.86261475,43.76143438,44.74085798,12.17785981,71.36674476,,72.09320049,21.94579455,,75.1710029,74.05180605,42.33976926,73.31233123,,33.47953187,74.09661322,63.33110107,50.09899723,33.7249013,49.90410575,71.10639997,34.06964391,54.31013871,3.715440924,9.358321321,38.62340691,78.85168954,19.36302737,78.52196217,82.66924634,31.5040466,,64.97531445,,5.050008159,,8.644597418,7.173185281,46.54131778,49.18006698,84.63303827,36.50636653,,40.35897861,61.66134514,68.66352921,66.94764353,66.55904207,,40.71535113,43.55070054,63.46376634,2.20114322,34.5519743,45.36159831,17.27593445,29.57856709,71.93122852,70.86900594,,42.47974984,67.64685962,54.91649626,51.9201876,27.82280644,43.4957304,0.074631914,9.630087339,
1997,66.44610402,,0.094833807,61.19638399,,59.89688496,,69.58285052,79.47159847,28.99543597,77.77924606,66.36293292,72.28345003,45.85592081,41.77841063,85.44004602,76.74279057,,78.81010069,54.42963213,45.36062606,65.51591837,94.3088594,65.65423014,35.28057747,72.67739464,77.59015455,89.59127935,,,69.64689053,72.95146648,,40.50480384,,74.04249312,27.39822984,,71.50423434,66.28624883,83.19925966,,77.85074846,76.02777022,26.4865783,65.16400431,11.25020059,40.99949956,70.45444915,57.15374357,31.92967063,80.99404133,64.32253607,82.05777341,81.59885875,78.34316081,42.73948208,13.09229153,,48.15172569,68.22703275,49.32629632,65.08542028,71.6140229,43.6238228,48.05365225,100.7334963,34.13683494,65.48333547,19.66643425,43.93662374,41.95904517,22.23921283,71.31499021,15.53924883,13.387617,49.60386426,72.10051761,75.94561423,27.14618743,63.33035509,102.9922968,33.49514859,30.68807461,27.25571119,49.83752274,66.23093803,65.95287074,,66.6166421,8.822926792,,,95.58510825,70.29296529,30.0082079,,69.58423348,76.10452899,53.82388852,84.39511111,79.34397482,20.47539701,29.1833303,,42.78378952,74.56992491,74.84337911,73.64419227,8.367227091,,33.00652406,30.98958067,45.78555256,47.79815442,13.29059378,73.26689476,,74.20802031,23.81774322,,76.80685261,75.96289148,44.03758918,74.18271827,,37.28799363,75.07791262,68.75362995,52.89966113,35.06188389,57.43045177,72.64344467,36.43733632,56.93575683,9.465586612,10.74024276,43.26417244,78.89675409,28.39594214,79.89858156,84.32559594,34.05083416,,67.89279462,,6.227057301,,11.74084828,7.685717375,49.38477517,53.29239093,85.07109462,39.1075646,,40.60841606,62.82434678,72.48963759,72.4713765,70.30351898,,41.58044295,45.12988324,65.78147972,4.088254655,40.11161325,49.067197,20.02982196,35.44068691,73.61275761,71.18339221,,43.84314848,69.56174079,58.8084316,55.48285926,28.42843289,47.23539333,0.222788731,11.98163155,
1998,67.68830631,,0.196576088,73.82906717,,65.09143412,79.56938073,70.17670915,80.20375031,32.61998456,78.52160431,70.18100121,75.95858166,49.70884439,49.579384,85.12687932,77.76854497,,80.54018927,58.60614242,46.81152737,64.68459565,93.89259961,72.59849158,37.63075739,71.30727969,78.36290784,89.60651856,,,72.85862039,75.26457645,68.11106221,48.06956264,,77.29609435,30.59453294,,73.0971394,73.33021515,83.9776905,,78.62859223,77.43670025,27.76632119,68.38972786,15.31134673,42.58723612,71.74625759,61.84511335,32.21537786,82.12725398,67.99643453,82.54621253,82.78101287,79.58797408,44.26391727,15.00693006,,48.68822663,73.69458012,53.24068849,68.18753823,72.6006445,46.50886718,50.25761675,103.6674817,38.80269432,69.67209922,21.75782937,49.74980853,47.9067679,35.22404141,73.04571804,18.31551189,15.36480384,50.45542624,76.01906755,77.43638084,29.48941813,65.28831857,103.6754133,35.88882132,32.75106095,30.10594519,57.21671732,68.51349369,70.90730345,,66.7030161,16.8500904,,,99.13062104,72.54370627,32.81824941,,73.11558761,76.83404133,56.33116883,84.54080271,81.52840435,22.06971089,30.99503613,,49.59838939,74.97573418,77.86449906,75.40079136,12.6753073,,36.09495844,31.44833803,49.46289551,51.05358789,17.24436618,77.12831069,,77.58301278,26.19865489,,78.33182372,77.6763754,48.98938171,75.10441044,,39.61029143,75.49765918,73.7367705,57.7849101,39.82125124,64.16426051,74.61676047,40.6470396,58.61615243,15.05942484,13.71258792,45.95090657,78.61510068,33.25308407,80.82283294,84.10002303,38.27296864,,69.62206468,,8.105119089,,17.66917074,9.144110622,52.69270169,57.50960266,84.95538162,42.27917465,,41.65605333,62.32353268,75.57686332,73.1767638,75.92409462,,42.94197191,47.66289229,67.83739159,7.548608001,45.24580109,49.10095728,22.14840851,39.27220448,74.75543306,72.70842981,,47.02887848,71.84486833,62.08973335,56.71393219,30.1274606,50.48544951,0.287728988,14.91215368,
1999,69.23185149,,0.684469883,74.11658536,,65.51338658,80.46158257,71.20509849,80.65482374,33.72430944,79.39980647,70.41029861,75.14383956,52.74441235,50.85506604,84.03079586,78.74395559,,82.65146597,59.8717516,49.08561557,65.69371571,93.50235605,77.5187305,40.54687624,70.29885057,79.72238122,90.34561994,,,73.37036171,76.6733374,70.93267968,53.29700458,,80.66344748,33.66802416,,74.28862278,74.90177736,84.45617551,,79.55599908,79.35611217,29.56295262,70.19898572,23.31035422,43.89870969,73.40407841,63.88359688,34.77374555,83.07932653,69.33506242,82.98649569,81.17787248,80.65079712,52.75934742,16.86909033,,50.54440298,72.15708632,53.43888556,69.98549547,73.01986069,48.93365841,54.04614617,99.51100244,43.32854007,72.47231756,23.64444145,52.07303555,52.71226023,42.44113666,74.24386613,21.99156476,17.29735235,52.08248756,79.96784402,78.71844013,31.24528871,65.68413329,103.3338551,38.86616787,34.63162722,41.25445542,59.5100818,70.81762736,71.48267916,,68.69797681,38.48882273,,,101.756217,75.08549108,34.35798506,47.66130731,73.66666667,77.60609813,57.65993266,81.83595742,82.08669668,30.71444239,34.07269878,,57.82458239,74.01657968,76.92864278,77.010424,15.0076961,,38.82552093,32.34760671,51.478101,54.58095494,24.97056033,79.24514446,,75.79695482,27.93257969,42.69652937,80.04966112,79.48867314,52.63963571,75.31323132,,41.25120209,76.43925283,76.2951857,61.21678423,45.76743285,68.83221046,76.3358454,43.39163578,59.89498291,21.95721083,25.4700051,44.84535896,77.55545215,38.57183035,81.49144031,84.11407601,41.34260172,,69.98049796,,11.54605869,,19.917604,18.17603137,58.26255514,61.04612892,85.34109161,44.85349467,,44.30009025,60.01525369,69.51177498,73.12515009,76.14027061,,44.85905384,49.30208393,69.66230212,12.44519973,48.81589088,51.93770076,27.1724808,41.49449602,76.39110227,73.44536642,,48.96510554,73.2810292,65.53223143,56.86429224,32.73656482,53.10134839,1.10745442,18.90677617,
2000,72.03160231,,2.90897559,74.15365709,,64.99525184,81.08256881,74.39165701,82.58665639,41.92527942,81.42024541,73.3431723,74.91524285,53.90914412,56.10140678,83.43850231,80.00884292,,85.18674982,62.63077962,52.54355113,67.2938918,94.95926533,80.62800192,44.03450978,72.5508046,81.89038351,91.7400071,,,75.22720061,77.61426503,70.30705946,58.21159249,69.14447883,78.66504551,37.36898989,,77.3654032,77.82507016,85.69880823,70.0722695,80.23775168,81.67710319,31.84643519,70.43707484,45.71023252,45.07686561,75.92375729,66.45170509,35.00410705,85.8771615,70.09231543,84.39677768,81.58775582,81.28412317,54.90346725,21.11895726,,50.9714878,78.38880388,56.00517522,72.201294,74.61302128,51.85870569,57.36919688,95.84352078,48.11549232,75.81424481,26.88555563,54.16086952,57.86782835,44.01995713,78.37541127,25.1752289,18.15858097,54.74844915,80.86735557,80.7016082,33.79836736,66.12216824,102.6590693,43.98907493,38.08787233,48.96934151,59.03876639,72.33939572,73.102,,69.94343413,48.14360591,,,98.8052867,77.87175304,36.48002902,50.58388694,74.40833333,80.04865059,59.18710919,80.52190138,83.64193962,40.28065554,38.11361336,,63.31503755,78.90716812,76.40732686,78.83525752,14.99131287,,43.32754926,36.46339003,53.15323313,56.87296657,32.35722375,80.46135158,,77.99518,29.86922705,45.71513708,81.90414467,81.94174757,53.94447763,77.57785779,74.79431563,43.05250369,77.58504751,79.16185396,63.65145228,52.90527285,75.75660357,78.50891403,47.28914183,60.88345091,31.98432116,30.76174018,46.5941171,76.68295331,41.67032687,82.08794297,85.25939339,44.60435186,,71.56995631,,19.75768822,,22.34933344,28.97290054,65.27490622,66.46629486,86.22629605,50.32944965,,47.07716047,57.7069747,72.1689327,74.50725041,77.35240025,,47.68824222,51.05497673,71.72591404,19.27952875,51.70772526,53.69943878,34.83596199,43.47122108,78.97072076,73.56851935,,48.12763709,75.08543645,67.36595363,57.41404619,34.23917315,55.93640458,6.798738475,23.82828787,
2001,74.1087087,,7.346938493,76.45804744,,67.03994049,82.21999235,77.65063731,84.78630303,45.80042115,83.43494446,76.265381,78.66657338,54.9911943,60.23100357,82.43092249,81.64501557,,88.29727402,63.62639217,56.13639023,69.02861723,95.52511849,83.37774303,46.92274986,75.33302682,83.95821408,92.64733448,,,78.50825688,81.04463894,70.34642433,62.85016464,72.98517386,81.30029679,41.56439724,,78.89496084,81.48737138,87.39894991,71.29618837,81.28396693,83.59651511,34.67537584,73.41373742,62.9329435,46.10000101,78.650256,70.26957516,32.12052313,88.08097468,73.08712893,85.77266254,83.33179244,82.28870933,57.45430673,28.0682365,,53.26143087,81.01335718,60.94784993,74.63734141,76.9566111,55.63706547,58.8765227,94.25427873,52.76621509,78.67752326,30.69612083,56.15659317,63.16636428,49.08317332,82.19413942,28.01354643,21.13188182,58.24982726,81.76970502,82.95142071,36.16108394,67.2939882,101.8993352,47.66398285,40.27358227,52.35786319,58.68415105,74.00569571,76.075,,70.85269878,51.90449194,,41.02844402,90.09665046,82.00457892,41.6450378,45.71966271,75.41666667,82.18391472,60.65416065,78.92009584,84.16035393,44.16223618,40.75784413,,67.34345704,83.00946125,80.37058401,81.14473043,18.15467558,,46.04737559,39.76331509,55.65935298,59.93804653,39.70231354,81.60131572,,81.11928808,35.50663929,48.45166432,85.31327107,84.41423948,55.39466904,79.52475248,74.18349539,44.40790906,77.82328204,80.72696202,67.05394191,57.82449681,79.91658646,81.95919013,50.72614517,61.77925004,43.00860256,37.36255286,48.15169091,75.82984334,43.70028295,84.61160807,86.10959832,47.69357671,,74.25441695,,38.52852453,,24.41039726,40.15246736,70.05931593,72.06440832,88.30086482,53.32008082,,49.88748902,59.43818394,81.14045951,77.42055731,78.61085331,,51.64844261,53.88171377,73.148478,29.76762787,54.36936387,54.70100056,39.00192798,45.3662797,81.20256846,74.2312676,,47.91994491,77.82887197,68.18969424,59.6177607,38.31760351,59.12584278,31.26988756,28.92605987,
2002,76.56598673,,15.34756614,82.39923977,,67.7505969,84.19956859,79.98261877,86.31423869,45.17250908,84.80486329,78.16375015,80.37811793,56.82381156,63.73050349,82.02244418,83.41963361,,92.04131385,64.21700979,60.88003909,69.1150752,93.31373833,85.44837132,50.69195893,77.08965517,85.85432169,93.24277821,,,80.92416388,83.34178651,73.42672522,66.84122888,75.56377081,82.8324286,45.37369768,,81.10493102,82.94200187,88.64072006,71.7507868,81.42219465,85.62482984,36.48659822,74.45496587,70.78950385,47.36186801,81.06228418,72.77910078,32.65170964,89.45692687,73.64407631,87.41684496,83.36236094,83.32241392,60.66475991,32.2268938,,57.8467739,83.6868966,65.57530234,77.34620142,76.62723147,60.16182245,62.02112674,91.44254279,56.82861491,79.9928418,33.72074584,58.62310291,66.48988821,54.91364393,86.01777171,32.02954988,25.21386289,61.26387906,86.42030644,84.99291726,38.72037237,68.52748289,100.958301,50.44609355,41.06347134,53.47528987,60.57676399,75.51621932,78.177,89.35888962,71.48218968,57.42263736,,46.83792686,81.26929864,81.79502719,45.62256855,61.17865948,75.64166667,83.88847172,61.82058682,76.8387078,86.51315733,46.48221274,47.2513917,,70.73156665,84.93079653,84.41549306,82.92057513,28.51636793,,46.46966442,46.43614935,57.82767732,63.8103469,45.5562746,83.07656344,62.57347696,83.25180545,40.07867982,50.26868636,88.11725021,85.50161812,57.07279486,81.64086409,73.97157816,45.86908236,78.60605267,80.88287404,68.87966805,64.64746773,81.43514063,84.86468579,56.05758583,61.92752024,52.70154164,43.26284762,49.11115448,76.00434311,47.34218458,86.49944067,85.77232694,52.90631017,,75.63965169,,46.03805458,,26.88285919,46.38710114,72.38760463,77.4476827,90.20682321,59.72900282,,49.97479212,59.36061397,85.35312526,79.80052259,79.15901385,66.51933113,57.00163188,56.11209074,75.13887211,43.15238084,57.26063621,54.54373053,39.29733672,51.70507069,82.49046688,75.60863173,,49.75567576,79.35709444,72.08299565,64.41717791,43.00711642,64.5441574,41.12696369,35.35729045,
2003,79.3662932,,30.42251619,82.79805424,,70.94947749,85.87811271,82.19872538,87.48426369,50.03382531,86.15564918,79.32623464,82.01346358,60.04498736,65.10523866,83.32957477,85.94311528,,94.17490766,66.360108,69.83873521,70.23434767,93.59367955,86.78662305,55.35050061,80.27708812,88.22266743,93.83799281,,,83.59207776,83.86114215,72.96278214,71.60780141,78.43449995,83.81661899,49.66040718,,84.46191715,83.0313377,89.55746312,73.17286397,82.60555878,87.41491968,46.50206462,77.63341408,76.40269385,49.4968351,83.5264843,73.75309583,38.4513991,90.24185643,76.71705786,89.26053068,85.22580409,84.45803305,61.17296955,40.82340152,,67.69973769,80.75569149,70.37773845,80.07702569,78.33608587,63.53297618,65.73059677,88.99755501,61.18973738,81.40658554,46.96674225,60.85421961,69.58064247,58.53010231,89.01108969,37.30417988,33.68980815,62.52887988,86.99892214,87.26772769,42.71711925,69.64448086,100.6993007,53.69392308,45.09413465,55.06597277,61.3097497,77.20433656,80.924,88.38951311,72.16938392,66.31703231,,51.67641966,79.48856484,82.6409953,48.50346854,65.23429289,74.775,85.60805153,63.64838865,75.63975155,87.52340061,51.88510121,46.67257085,,73.94853586,85.86852695,83.2786475,84.00172491,38.95042641,,48.85309118,52.67081821,60.8069023,66.31443446,49.91910694,83.90136102,67.03881609,81.90778189,45.70243345,52.93412702,89.97876128,87.61812298,60.32994458,82.55817282,74.10870107,47.2057692,78.91392637,82.71032352,70.45643154,74.15651416,82.07678323,87.65107631,64.03839055,63.32990921,60.7511599,49.1810842,52.76978823,76.45028696,50.99259407,86.47322077,86.20796914,57.28137817,,77.243508,84.73351589,50.58485522,,29.5153416,57.05716985,78.57974389,81.76833547,91.94389573,64.08324713,,51.62523655,62.80164752,83.8572525,79.03205187,80.58731947,71.28554692,63.63508694,58.25191822,77.1770835,54.06836584,60.29749196,59.27838625,41.33281215,61.72537388,84.36307882,75.76437168,,51.35775376,81.75069589,75.25683317,64.49179241,47.6658024,68.32578662,46.4216349,42.92430868,
2004,81.37421125,63.13189273,43.66907214,84.68586575,,75.88845605,87.62150502,84.12514484,89.28751396,53.96232528,87.95797255,80.01945933,81.68522216,64.60092262,69.23690379,85.29027064,86.78700279,,100.1968572,69.30475869,74.44748054,71.21371109,94.35574175,71.07075448,59.19498234,78.61823755,89.86119061,94.59142095,,,84.81084052,84.05708151,74.73560707,75.83601163,81.94443825,82.23179615,55.77610168,,86.39289992,85.37885875,91.0492541,75.45751253,84.58322657,88.42907705,70.43242691,80.70909491,78.49779426,55.07543497,86.06358975,76.00114307,39.70348159,90.41072004,78.88622132,91.16613122,85.57370035,85.59365218,64.63311236,45.97718208,32.14925558,77.31766563,81.46900869,73.34745934,82.39833692,80.07907942,68.34790059,68.79920748,88.75305623,66.15454477,83.07981389,57.68065988,63.14674319,74.29818204,62.1844415,90.96477042,42.81083964,42.77322283,64.49907054,86.63900603,89.20089993,48.53761609,71.98583653,100.6906674,57.38916807,50.33589289,57.32963234,63.71602351,78.9912731,83.83,87.4568554,73.07046519,73.25529712,,55.72221154,77.74174978,83.84785807,52.17805534,68.51128585,75.65833333,87.51341351,67.6046176,76.38509317,88.83051361,58.35988141,53.11867409,,77.4154524,86.66437282,80.69719158,86.34606898,40.716522,,52.8791499,59.34078523,67.1111329,69.43809009,55.62476406,85.1754386,69.8119653,82.12282566,52.55689987,57.41775907,91.09301309,88.02588997,62.04440777,84.44896062,74.66965844,50.72006155,79.05803747,85.73956695,73.85892116,75.75750236,85.01229815,89.716117,66.80693983,67.63592294,67.96649489,54.52261951,59.2344621,76.70234217,55.28515389,86.91240405,87.64137249,61.28296477,,80.68234566,85.94591581,56.16252483,,33.43671626,62.75508433,84.51133655,84.70302294,92.28745313,66.29112972,,53.61657882,65.58573334,79.36636096,79.3417341,82.8108439,73.59342644,70.61990531,60.42034028,79.98037131,59.79108941,63.15306145,61.48430539,45.07263304,67.37793985,86.62167812,78.00702699,,55.34266931,82.91067198,77.51768013,75.01243575,53.63122293,69.27235965,48.27589326,50.63685795,
2005,84.13737451,71.14097429,53.69712626,86.69002617,,76.37592044,89.46046308,86.37022016,91.34538212,61.26001658,90.40698945,84.31211991,86.92536198,69.15310297,72.72564304,87.4960535,88.16831009,84.89325495,99.09037279,73.04252447,79.56004928,75.54506238,95.52993962,74.84568688,64.29180368,80.88521073,91.85031483,95.7000056,,,88.10644594,85.74960405,77.04829304,79.66430159,84.41368963,82.57625825,63.4720744,84.23823655,88.60322078,86.95509822,92.45770481,77.80044294,86.00583254,90.02858699,73.3836883,81.82485502,80.38784043,57.75727653,88.96368699,79.10935416,44.84304933,91.18920988,80.75248357,92.74839881,88.7470584,87.34803815,69.96346358,52.92809786,42.23553881,81.05877504,84.1812743,77.47811945,85.31941816,82.90188183,74.57347154,73.5639262,89.48655257,71.9821388,85.8357194,66.75304679,65.82817701,76.93636806,68.68393234,93.17661611,48.56167024,58.58198395,67.07903336,87.78835926,90.98408466,55.96195082,74.50079515,100.4057671,61.7392666,55.52692196,59.8262526,67.76151636,81.65945536,86.139,86.237791,76.0977569,78.50434508,,61.75935589,79.80206612,87.12695466,58.2514172,70.86662454,77.65833333,89.69213176,72.15007215,79.73913043,89.70339924,65.22646448,62.95230263,72.33547419,80.50282766,86.80629616,85.86010343,88.94332983,44.53109747,82.20547945,59.60356264,63.59419576,75.24879313,72.86944225,64.19673192,87.69736842,71.4050367,88.5263512,61.94539819,62.9293471,92.6179842,89.36569579,66.28596988,87.01369307,76.05958614,55.31698677,81.57343115,87.12537724,78.67219917,77.1065953,86.80355042,91.77408563,71.35474345,73.59762057,74.07604172,61.4379085,64.57390934,77.23876739,59.99364358,88.39382823,88.01394146,65.77541264,,84.46711311,87.39452469,65.21591297,,39.17185036,68.96658565,86.80082044,86.8015017,92.70567297,69.45587093,89.2838172,54.10298184,70.33436959,85.62865706,84.73823369,86.57076195,74.41154543,76.49875313,64.58085117,81.59420438,65.85295217,66.3325466,66.67894615,51.18879846,70.54421614,89.56053237,80.91936408,,59.92582917,83.90493721,80.70152559,76.4052396,59.96574822,71.62713494,58.56677694,59.91577845,
