"Year","Country","ExportsFASValueBasisYtdDec","GenImportsCIFValBasisYtdDec","1","2","1","2"
1996,"Canada",532850043,358755321,-106.346771,56.130366,-106.346771,56.130366
1996,"Mexico",56077722,632315237,-102.552784,23.634501,-102.552784,23.634501
1996,"Guatemala",1656512,268641355,-90.230759,15.783471,-90.230759,15.783471
1996,"Belize",350102,132913,-88.49765,17.189877,-88.49765,17.189877
1996,"El Salvador",1114079,55355308,-88.89653,13.794185,-88.89653,13.794185
1996,"Honduras",1226421,40161351,-86.241905,15.199999,-86.241905,15.199999
1996,"Nicaragua",642139,7385121,-85.207229,12.865416,-85.207229,12.865416
1996,"Costa Rica",2113706,96171483,-83.753428,9.748917,-83.753428,9.748917
1996,"Panama",4827307,14112620,-80.782127,8.537981,-80.782127,8.537981
1996,"Bermuda",1283338,5573,-64.7505,32.3078,-64.7505,32.3078
1996,"Bahamas",1121627,0,-77.39628,25.03428,-77.39628,25.03428
1996,"Jamaica",1326903,4309249,-77.297508,18.109581,-77.297508,18.109581
1996,"Turks and Caicos Islands",7832,8468,-71.797928,21.694025,-71.797928,21.694025
1996,"Cayman Islands",277786,53218,-81.2546,19.3133,-81.2546,19.3133
1996,"Haiti",654410,1171689,-72.285215,18.971187,-72.285215,18.971187
1996,"Dominican Republic",3493189,101173984,-70.162651,18.735693,-70.162651,18.735693
1996,"British Virgin Islands",112154,445342,-64.639968,18.420695,-64.639968,18.420695
1996,"St Kitts and Nevis",90998,58803,-62.782998,17.357822,-62.782998,17.357822
1996,"Antigua and Barbuda",76464,16042,-61.796428,17.060816,-61.796428,17.060816
1996,"Montserrat",7848,0,-62.187366,16.742498,-62.187366,16.742498
1996,"Dominica",36595,141011,-61.370976,15.414999,-61.370976,15.414999
1996,"St Lucia",160661,78123,-60.978893,13.909444,-60.978893,13.909444
1996,"St Vincent and the Grenadines",24332,0,-61.1971628,13.2528179,-61.1971628,13.2528179
1996,"Grenada",41180,239274,-61.679,12.1165,-61.679,12.1165
1996,"Barbados",518042,10553,-59.543198,13.193887,-59.543198,13.193887
1996,"Trinidad and Tobago",885386,2451332,-61.222503,10.691803,-61.222503,10.691803
1996,"Netherlands Antilles",2475395,37998,-68.2623822,12.2018902,-68.2623822,12.2018902
1996,"Aruba",560876,0,-69.968338,12.52111,-69.968338,12.52111
1996,"Guadeloupe",3366,0,-61.551,16.265,-61.551,16.265
1996,"Colombia",5359958,530445434,-74.297333,4.570868,-74.297333,4.570868
1996,"Venezuela",2942744,62253758,-66.58973,6.42375,-66.58973,6.42375
1996,"Guyana",594297,0,-58.93018,4.860416,-58.93018,4.860416
1996,"Suriname",386649,3671,-56.027783,3.919305,-56.027783,3.919305
1996,"Ecuador",794055,170530802,-78.183406,-1.831239,-78.183406,-1.831239
1996,"Peru",1250586,65825354,-75.015152,-9.189967,-75.015152,-9.189967
1996,"Bolivia",409677,365944,-63.588653,-16.290154,-63.588653,-16.290154
1996,"Chile",3268337,19106657,-71.542969,-35.675147,-71.542969,-35.675147
1996,"Brazil",5382557,441693116,-51.92528,-14.235004,-51.92528,-14.235004
1996,"Paraguay",298181,36425,-58.443832,-23.442503,-58.443832,-23.442503
1996,"Uruguay",606318,93459,-55.765835,-32.522779,-55.765835,-32.522779
1996,"Argentina",3182987,25893438,-63.616672,-38.416097,-63.616672,-38.416097
1996,"Iceland",1202825,0,-19.020835,64.963051,-19.020835,64.963051
1996,"Sweden",2410329,42583649,18.643501,60.128161,18.643501,60.128161
1996,"Svalbard, Jan Mayen Island",57888,0,23.670272,77.553604,23.670272,77.553604
1996,"Norway",963927,275814,8.468946,60.472024,8.468946,60.472024
1996,"Finland",18929532,252108,25.748151,61.92411,25.748151,61.92411
1996,"Faroe Islands",21847,0,-6.911806,61.892635,-6.911806,61.892635
1996,"Denmark",429585,625640,9.501785,56.26392,9.501785,56.26392
1996,"United Kingdom",6409659,40592867,-3.435973,55.378051,-3.435973,55.378051
1996,"Ireland",221227,5801879,-7.6920536,53.1423672,-7.6920536,53.1423672
1996,"Netherlands",5290063,108966054,5.291266,52.132633,5.291266,52.132633
1996,"Belgium",2169213,29171028,4.469936,50.503887,4.469936,50.503887
1996,"France",4046095,34476306,2.213749,46.227638,2.213749,46.227638
1996,"Germany",10502976,125326755,10.451526,51.165691,10.451526,51.165691
1996,"Austria",21543,895240,14.550072,47.516231,14.550072,47.516231
1996,"Czech Republic",130782,190227,15.472962,49.817492,15.472962,49.817492
1996,"Slovakia",75264,97626,19.699024,48.669026,19.699024,48.669026
1996,"Hungary",269031,1411612,19.503304,47.162494,19.503304,47.162494
1996,"Switzerland",1093691,34195116,8.227512,46.818188,8.227512,46.818188
1996,"Estonia",74954,0,25.013607,58.595272,25.013607,58.595272
1996,"Latvia",100675,45545,24.603189,56.879635,24.603189,56.879635
1996,"Lithuania",767586,32421,23.881275,55.169438,23.881275,55.169438
1996,"Poland",1120945,3071369,19.145136,51.919438,19.145136,51.919438
1996,"Russia",23168959,434578,105.318756,61.52401,105.318756,61.52401
1996,"Belarus",51494,0,27.953389,53.709807,27.953389,53.709807
1996,"Ukraine",1017839,0,31.16558,48.379433,31.16558,48.379433
