Year,SITC,sitc_sdesc,Country,Export,Import
1996,071,COFFEE AND COFFEE SUBSTITUTES,Canada,251095344,71632171
1996,071,COFFEE AND COFFEE SUBSTITUTES,Mexico,3888692,581683097
1996,071,COFFEE AND COFFEE SUBSTITUTES,Guatemala,178187,266456012
1996,071,COFFEE AND COFFEE SUBSTITUTES,Belize,64644,125141
1996,071,COFFEE AND COFFEE SUBSTITUTES,El Salvador,103128,55264357
1996,071,COFFEE AND COFFEE SUBSTITUTES,Honduras,0,38525034
1996,071,COFFEE AND COFFEE SUBSTITUTES,Nicaragua,240399,5988045
1996,071,COFFEE AND COFFEE SUBSTITUTES,Costa Rica,12842,82321012
1996,071,COFFEE AND COFFEE SUBSTITUTES,Panama,675290,13401537
1996,071,COFFEE AND COFFEE SUBSTITUTES,Bermuda,452669,5573
1996,071,COFFEE AND COFFEE SUBSTITUTES,Bahamas,740247,0
1996,071,COFFEE AND COFFEE SUBSTITUTES,Jamaica,50506,2262618
1996,071,COFFEE AND COFFEE SUBSTITUTES,Turks and Caicos Islands,3565,0
1996,071,COFFEE AND COFFEE SUBSTITUTES,Cayman Islands,89290,53218
1996,071,COFFEE AND COFFEE SUBSTITUTES,Haiti,0,321217
1996,071,COFFEE AND COFFEE SUBSTITUTES,Dominican Republic,119961,37524566
1996,071,COFFEE AND COFFEE SUBSTITUTES,British Virgin Islands,28300,443590
1996,071,COFFEE AND COFFEE SUBSTITUTES,St Kitts and Nevis,9431,58803
1996,071,COFFEE AND COFFEE SUBSTITUTES,Dominica,0,42327
1996,071,COFFEE AND COFFEE SUBSTITUTES,St Lucia,61178,0
1996,071,COFFEE AND COFFEE SUBSTITUTES,Barbados,115637,0
1996,071,COFFEE AND COFFEE SUBSTITUTES,Trinidad and Tobago,74330,125786
1996,071,COFFEE AND COFFEE SUBSTITUTES,Netherlands Antilles,219320,37998
1996,071,COFFEE AND COFFEE SUBSTITUTES,Aruba,103280,0
1996,071,COFFEE AND COFFEE SUBSTITUTES,Colombia,58017,523708975
1996,071,COFFEE AND COFFEE SUBSTITUTES,Venezuela,29527,58200724
1996,071,COFFEE AND COFFEE SUBSTITUTES,Guyana,167947,0
1996,071,COFFEE AND COFFEE SUBSTITUTES,Suriname,185477,0
1996,071,COFFEE AND COFFEE SUBSTITUTES,Ecuador,58108,78145668
1996,071,COFFEE AND COFFEE SUBSTITUTES,Peru,15886,65158856
1996,071,COFFEE AND COFFEE SUBSTITUTES,Bolivia,6822,364530
1996,071,COFFEE AND COFFEE SUBSTITUTES,Chile,1230520,0
1996,071,COFFEE AND COFFEE SUBSTITUTES,Brazil,584020,331285241
1996,071,COFFEE AND COFFEE SUBSTITUTES,Paraguay,25605,0
1996,071,COFFEE AND COFFEE SUBSTITUTES,Uruguay,7922,0
1996,071,COFFEE AND COFFEE SUBSTITUTES,Argentina,948663,0
1996,071,COFFEE AND COFFEE SUBSTITUTES,Iceland,13888,0
1996,071,COFFEE AND COFFEE SUBSTITUTES,Sweden,612867,39545419
1996,071,COFFEE AND COFFEE SUBSTITUTES,Norway,336140,4760
1996,071,COFFEE AND COFFEE SUBSTITUTES,Denmark,142327,0
1996,071,COFFEE AND COFFEE SUBSTITUTES,United Kingdom,824102,729017
1996,071,COFFEE AND COFFEE SUBSTITUTES,Ireland,16550,56841
1996,071,COFFEE AND COFFEE SUBSTITUTES,Netherlands,1455283,31600925
1996,071,COFFEE AND COFFEE SUBSTITUTES,Belgium,171242,269514
1996,071,COFFEE AND COFFEE SUBSTITUTES,France,2679106,20787562
1996,071,COFFEE AND COFFEE SUBSTITUTES,Germany,6951350,67968652
1996,071,COFFEE AND COFFEE SUBSTITUTES,Austria,0,322935
1996,071,COFFEE AND COFFEE SUBSTITUTES,Czech Republic,130782,0
1996,071,COFFEE AND COFFEE SUBSTITUTES,Switzerland,827281,9620642
1996,071,COFFEE AND COFFEE SUBSTITUTES,Estonia,74954,0
1996,071,COFFEE AND COFFEE SUBSTITUTES,Latvia,93683,0
1996,071,COFFEE AND COFFEE SUBSTITUTES,Lithuania,763859,0
1996,071,COFFEE AND COFFEE SUBSTITUTES,Poland,268144,221546
1996,071,COFFEE AND COFFEE SUBSTITUTES,Russia,16840758,0
1996,071,COFFEE AND COFFEE SUBSTITUTES,Belarus,30427,0
1996,071,COFFEE AND COFFEE SUBSTITUTES,Ukraine,72545,0
