"Year","Country","Coffee","Tea","Spices","Chocolate","Cocoa"
2008,"Bolivia",5137542,3214,16282,0,24180
2009,"Bolivia",5303754,20226,25633,6359,12733
2011,"Bolivia",5872159,11365,19411,38054,87518
2012,"Bolivia",5558496,18693,9902,39520,13800
2013,"Bolivia",4832608,17175,13657,40345,91303
2015,"Bolivia",3068947,0,16317,0,209575
2016,"Bolivia",3048747,10029,26175,7905,158400
2007,"Bosnia and Herzegovina",740880,43675,15836,14554,7038
1996,"Brazil",331285241,2981776,17268761,3735765,86421573
1997,"Brazil",506687540,2337754,22055630,6065460,35807907
1998,"Brazil",422690999,3173351,34721259,5594391,38685010
1999,"Brazil",531551896,3221988,39088460,3831769,20718397
2000,"Brazil",306695550,3035799,42538714,5372363,36457881
2001,"Brazil",210958216,3358119,37946102,7634576,36778273
2002,"Brazil",255005254,3272508,29309962,8688310,40110113
2003,"Brazil",334666581,2655679,30708471,36397188,94011785
2004,"Brazil",381815661,2854453,37290380,39559312,90305657
2005,"Brazil",558759833,3294416,35356856,54355311,103649165
2006,"Brazil",628354167,3500894,42416449,38253493,116133807
2007,"Brazil",725777449,4462885,47194095,20127169,96088986
2008,"Brazil",859416388,4763903,30857723,17052272,104116086
2009,"Brazil",863098728,5152033,35381711,10969803,50211729
2010,"Brazil",1199474246,6036793,41516725,5228587,66428118
2011,"Brazil",2092104491,6867679,75592943,4928659,70170774
2012,"Brazil",1498638152,5888432,64418940,5360710,45891905
2013,"Brazil",1223650336,5607087,93963338,3278710,21631260
2014,"Brazil",1469733947,6246403,110613029,3083490,51361660
2015,"Brazil",1466021183,6251491,149465411,2872007,96614849
2016,"Brazil",1185096407,6199142,104872519,2604143,108192387
2016,"Brunei",121886,0,0,0,0
2011,"Bulgaria",30665,6873,893317,304776,0
2012,"Bulgaria",44510,8071,690285,92639,0
2013,"Bulgaria",149180,40369,623991,77266,0
2014,"Bulgaria",74475,33912,695319,112255,0
2015,"Bulgaria",290828,27907,683264,1326636,0
2016,"Bulgaria",201939,34091,640811,1458426,0
1996,"Canada",71632171,17269858,4307947,259042297,6503048
1997,"Canada",80948136,26626334,4919439,312473966,8163341
1998,"Canada",143104943,28926094,4442030,337520500,14650727
1999,"Canada",135567008,37618189,5143559,337267086,12986632
2000,"Canada",131013963,46795699,4894382,382056649,13703324
2001,"Canada",116879967,52607133,5665732,448566143,13611607
2002,"Canada",117739856,54379929,6511211,520001298,12025170
2003,"Canada",114160167,54416031,5180376,692350583,18769846
2004,"Canada",117502272,64342030,5457039,712174104,16372657
2005,"Canada",134283744,62933851,5447253,705631898,13417621
2006,"Canada",137188658,66533560,4816718,696173917,18986505
2007,"Canada",132101697,69650829,6454693,715710990,16092081
2008,"Canada",147704618,75312600,9271118,747874433,15823505
2009,"Canada",184043283,93326731,9563106,636347745,17002292
2010,"Canada",278557441,105871410,9109807,846483748,32941470
2011,"Canada",416694450,109481773,6419094,918409798,30212603
2012,"Canada",423582123,106316146,6050340,968876427,27977780
2013,"Canada",399349783,102002483,6530857,1018019963,34251590
2014,"Canada",397165551,88339344,8640507,1161682312,22492718
2015,"Canada",440952512,86614382,8985543,1300044587,28785150
2016,"Canada",490293881,89459564,8097322,1423642430,32632422
1997,"Cayman Islands",83259,37495,0,0,0
2009,"Cayman Islands",6919,0,0,0,0
2000,"Chile",33890,2112104,13738427,4881094,0
2001,"Chile",54104,2451385,10980923,4304054,0
2002,"Chile",117706,3777620,10903480,3514465,0
2003,"Chile",53974,4555907,11470174,2236193,0
2004,"Chile",262206,8031460,12406726,2326188,7801
2005,"Chile",67181,6054689,7629350,6169715,5646
2006,"Chile",9991,4970253,11830852,8180519,0
2007,"Chile",105739,6286687,5345434,4924843,0
2008,"Chile",161998,7000623,5280379,2941452,0
2009,"Chile",36114,7738314,4968772,1452021,3019
2010,"Chile",100493,8294118,4818261,918268,0
2011,"Chile",86768,8181869,4032702,660146,0
2012,"Chile",3862,9049116,3104257,379002,0
2013,"Chile",145590,7467783,710620,40235,0
2014,"Chile",2692,10605270,453589,6492,0
2015,"Chile",278675,10264015,489607,31107,67898
2016,"Chile",108467,12911512,966054,72982,0
1996,"China",18779,31459345,10988218,61464,37206551
1997,"China",1355056,28703096,14834179,36775,50682877
1998,"China",441479,33552171,18908403,166190,33910685
1999,"China",922248,27287265,23054919,95276,22170684
2000,"China",943131,23237156,29767079,303446,18286062
2001,"China",441081,24291687,31873167,489395,11241976
2002,"China",1510287,30417861,34832962,668670,9770704
2003,"China",988827,39040091,44220836,991504,12079815
2004,"China",961499,42400477,60903299,4812659,18509432
2005,"China",872206,52103530,60314176,6488123,37950550
2006,"China",1997819,65402336,55452760,10436886,40179116
2007,"China",1812460,75699610,69754519,11837834,31421684
2008,"China",3532245,85578802,91737661,13198229,54541891
2009,"China",3212692,70969677,86989639,8372522,4743215
2010,"China",29974968,87492031,115218897,4297336,2758163
2011,"China",27674503,109272826,129899440,3792374,1845999
2012,"China",31433413,133075656,125383654,5753902,1445405
2013,"China",22507191,135072160,139830868,5418379,6771465
2014,"China",22693475,124498776,172418974,6971784,5193614
2015,"China",28978030,130868797,167455824,7734233,14860584
2016,"China",34582383,142779406,155159654,7466394,18572105
1996,"Colombia",523708975,36049,589499,887472,5223439
1997,"Colombia",800197335,17570,447255,1093033,10478535
1998,"Colombia",703216431,0,909921,1507250,5091556
1999,"Colombia",532579646,0,527275,1523475,7536663
2000,"Colombia",464781123,47948,449803,1555325,2446867
2001,"Colombia",332765672,0,756579,3039894,5256378
2002,"Colombia",343605532,0,3273557,3383127,2544774
2003,"Colombia",390664769,17942,3356736,2718080,5021189
2004,"Colombia",422650753,122781,5040811,3218344,7269157
2005,"Colombia",651510225,2081,5695066,4265603,6461833
2006,"Colombia",645982553,89933,7846374,4291018,323052
2007,"Colombia",721966537,3478,7168105,4132644,3333790
2008,"Colombia",869635449,0,8001288,3896986,9022952
2009,"Colombia",803773310,31641,8935301,4954347,7134445
2010,"Colombia",930423372,466714,10631668,8619438,7895226
2011,"Colombia",1474725957,6145,9673166,6685792,4758537
2012,"Colombia",1023592915,66574,5745964,5988244,3125493
2013,"Colombia",1039848250,49909,9629817,6373859,5822417
2014,"Colombia",1257866474,258637,8259198,11059060,10981381
2015,"Colombia",1332047129,32930,6510939,12699282,6949746
2016,"Colombia",1210153917,272431,5188193,14904506,7069477
1996,"Costa Rica",82321012,6773,7227009,161626,6455063
1997,"Costa Rica",137949757,6349,4171287,0,6660955
1998,"Costa Rica",159465847,62100,3537418,0,5471323
1999,"Costa Rica",137010472,410001,3609575,0,495982
2000,"Costa Rica",126237946,225447,1886146,14843,287082
2001,"Costa Rica",106614809,0,1374094,47663,421533
2002,"Costa Rica",125801174,5754,1307072,53051,915588
2003,"Costa Rica",129934502,0,1256203,43423,1551790
2004,"Costa Rica",152829449,0,2898626,58789,2794235
2005,"Costa Rica",159965530,5487,3310972,7039,1727873
2006,"Costa Rica",141161154,8750,2274591,15384,906520
2007,"Costa Rica",161666427,46826,2610656,175324,205593
2008,"Costa Rica",196022742,1104498,2060151,450077,251553
2009,"Costa Rica",158431994,2398930,1981620,323759,164387
2010,"Costa Rica",165035641,2544249,3226417,249676,252363
2011,"Costa Rica",259163683,2939152,2653020,150640,108126
2012,"Costa Rica",262398669,2864233,2992447,156958,432021
2013,"Costa Rica",204543815,2933,3633575,453715,296881
2014,"Costa Rica",187623643,2845077,5486102,719761,608202
2015,"Costa Rica",174681272,2257461,3283815,789995,316754
2016,"Costa Rica",181987748,4365,3510744,991927,327187
2007,"Cote d'Ivoire",5509235,0,11994,1513080,455278686
2000,"Croatia",278877,39680,16058,939551,36912
2001,"Croatia",262361,22372,15753,927145,4824
2002,"Croatia",282963,0,25141,827474,24869
2003,"Croatia",450882,16198,85274,916311,179288
2004,"Croatia",404375,12765,150443,1250562,83686
2005,"Croatia",279065,5053,204364,1212407,30017
2006,"Croatia",256715,8079,522889,1268422,31463
2008,"Croatia",137853,7384,2428642,1345916,49991
2009,"Croatia",209382,18822,154819,1457643,67066
2010,"Croatia",215249,3123,265824,1951703,64759
2012,"Croatia",325097,12530,2297291,1464706,19602
2013,"Croatia",243874,0,1724578,1515690,45682
1999,"Denmark",130724,6065,24373,1295842,6630
2004,"Denmark",32472,4532,5040,4662034,3119
2011,"Denmark",38583,207610,85112,2574071,2483
2012,"Denmark",126216,365345,0,2653484,4988
2013,"Denmark",294493,724228,15688,3175256,2704
2014,"Denmark",344133,530317,20400,6849148,0
2015,"Denmark",736863,870662,0,8998703,0
2016,"Denmark",1752082,463339,0,8279424,3251
1996,"Dominican Republic",37524566,0,236567,646794,62766057
1997,"Dominican Republic",35367129,0,138658,788870,59767727
1998,"Dominican Republic",33476159,0,82612,860395,77060223
1999,"Dominican Republic",12872325,0,88147,606783,19694455
2000,"Dominican Republic",11515843,5226,122414,788269,17862460
2001,"Dominican Republic",6735711,0,155089,645253,31757901
2002,"Dominican Republic",7970013,0,149047,946834,40742114
2003,"Dominican Republic",11228042,0,147943,720906,58579865
2004,"Dominican Republic",324042,0,355461,560882,43336160
2005,"Dominican Republic",521881,12284,123369,741956,30504276
2006,"Dominican Republic",10659811,12399,163225,710007,42345567
2007,"Dominican Republic",6273003,0,126232,1025535,37574987
2008,"Dominican Republic",8119191,0,306734,892824,39242266
2009,"Dominican Republic",11763749,0,161753,1075258,108620623
2010,"Dominican Republic",1726219,4897,188135,1564740,62706788
2011,"Dominican Republic",7624621,19871,307882,1182469,61987578
2012,"Dominican Republic",23259715,0,495309,1377048,83280064
2013,"Dominican Republic",9516071,7517,553914,2319752,59562318
2014,"Dominican Republic",4855450,0,779573,2415855,80266581
2015,"Dominican Republic",2365056,2103,290166,3125253,88576179
2016,"Dominican Republic",2105742,0,691419,2670950,56063351
1996,"Ecuador",78145668,662290,516592,1319362,89886890
1997,"Ecuador",65935377,742192,257838,1087000,72205753
1998,"Ecuador",43476074,900847,126999,106757,20987313
1999,"Ecuador",45021510,699532,153148,149903,55884084
2000,"Ecuador",15847943,591285,251101,251772,34354920
2001,"Ecuador",13638437,781123,466377,363615,33516042
2002,"Ecuador",9880444,546039,2899841,385082,37172980
2003,"Ecuador",10115588,557970,3794023,605603,59119696
2004,"Ecuador",13707735,512649,3315656,894739,64036457
2005,"Ecuador",10119294,669280,3128566,1197628,59308898
2006,"Ecuador",19205394,650707,1945213,1537243,36016365
2007,"Ecuador",17587185,578654,3141383,1512071,63983844
2008,"Ecuador",6270095,395741,2461785,2081399,119669068
2009,"Ecuador",9795455,446883,1250696,1302398,188535591
2010,"Ecuador",13234700,760409,1667269,1103199,105293192
2011,"Ecuador",22978563,738334,1988501,645599,252574023
2012,"Ecuador",10160820,1300885,1846451,526888,136242272
2013,"Ecuador",11391755,1729846,1619466,675560,190640592
2014,"Ecuador",20860883,1953550,5611534,1326526,263665356
2015,"Ecuador",15428656,1798584,7105029,1335398,316834836
2016,"Ecuador",15016195,1766793,5266548,2379890,194028954
1996,"Egypt",18000,2343,5118638,0,0
1997,"Egypt",19956,6210,2743922,43645,0
1999,"Egypt",133295,26028,3015997,0,0
2000,"Egypt",102925,41716,2918373,48716,0
2001,"Egypt",124960,6942,3410990,27020,0
2002,"Egypt",280674,11652,3754635,153569,0
2003,"Egypt",186966,14122,2936311,0,2670
2004,"Egypt",253349,15308,2794893,14725,0
2005,"Egypt",407122,16817,3318846,130781,0
2006,"Egypt",335421,3262,5186529,207962,0
2008,"Egypt",407929,178618,5772614,43181,0
2009,"Egypt",488473,67810,5365883,9135,0
2010,"Egypt",192495,49314,7617953,2700,0
2011,"Egypt",654609,168364,9141434,15004,0
2012,"Egypt",1558920,173219,8161993,63331,0
2013,"Egypt",1151866,123600,9792977,112015,0
2014,"Egypt",635875,320320,7461880,137095,0
2015,"Egypt",394072,333714,9332397,49962,0
2016,"Egypt",607760,272600,11642578,0,0
1996,"El Salvador",55264357,7477,20570,20308,42596
1997,"El Salvador",103352152,0,34809,33386,10114
1998,"El Salvador",90621884,0,68680,39371,17965
1999,"El Salvador",69390800,0,74400,104044,5670
2000,"El Salvador",140275013,0,88913,60315,12380
2001,"El Salvador",39001735,0,110551,77583,16848
2002,"El Salvador",34199862,0,44627,156423,12564
2003,"El Salvador",47847033,0,173015,146368,23555
2004,"El Salvador",51673428,5898,216091,173773,18159
2005,"El Salvador",56935728,0,289035,242964,21584
2006,"El Salvador",71513854,0,376124,216869,31065
2007,"El Salvador",95182216,0,195139,226888,0
2008,"El Salvador",124450832,25872,139951,451783,24168
2009,"El Salvador",86545973,0,289771,431188,31919
2010,"El Salvador",81478914,0,228803,745077,15791
2011,"El Salvador",206298471,0,169329,833317,66927
2012,"El Salvador",123612158,0,157673,958075,70946
2013,"El Salvador",93357947,0,168937,894540,32939
2014,"El Salvador",49798090,10871,314458,743325,23467
2015,"El Salvador",77511180,0,277956,992629,15068
2016,"El Salvador",51150251,20599,435211,1143737,28951
2015,"Estonia",11188,159114,0,0,0
1998,"Fiji",4236,8878,781254,0,2531
2002,"Finland",18087,0,48600,520813,31281
2009,"Finland",16424,0,164914,143238,0
2010,"Finland",30459,0,1017565,229534,0
2011,"Finland",26967,0,2742263,206360,0
2013,"Finland",22156,0,3639814,142052,0
1996,"France",20787562,239875,1655988,9970077,1822804
1997,"France",44129508,251471,1796493,13780945,2315755
1998,"France",30315639,426619,1295479,14561543,5630144
1999,"France",29227210,507517,1383857,19968831,7382636
2000,"France",13406069,436834,1275261,20099071,4474943
2001,"France",15461612,743466,1797565,21482396,3776349
2002,"France",11693016,1973582,2443553,22699323,10797403
2003,"France",11796629,1553444,8798752,25864851,18691367
2004,"France",7558079,939218,8071460,30303761,18853481
2005,"France",2737353,1003194,7200905,35758128,14601537
2006,"France",2670415,1287697,3573340,43700994,14158781
2007,"France",2703331,1290666,2727875,46505758,17275497
2008,"France",3392631,1774739,4428898,43825366,15622419
2009,"France",4956953,1415899,3154520,37011617,18117113
2010,"France",5129258,1647118,2396813,39043271,35235567
2011,"France",4694041,2526573,2753116,36269142,40264953
2012,"France",19353294,2165522,3212037,37202505,29110043
2013,"France",12153994,2380891,2838275,40160379,27510395
2014,"France",6265065,2849927,2507503,45983764,19446162
2015,"France",5858036,2486718,7105579,43068419,20827075
2016,"France",8219878,2237129,4021458,41838578,32304905
2000,"French Polynesia",48400,0,489696,0,0
1996,"Germany",67968652,22937189,3250044,27686524,3484346
1997,"Germany",99196399,21004457,3598666,27311111,3624560
1998,"Germany",91404316,14715744,2578033,28538403,2883467
1999,"Germany",77809650,11940105,2103996,30216507,1647670
2000,"Germany",72325621,14839356,2701520,40404325,2273585
2001,"Germany",48761854,16200701,3372196,56931990,739525
2002,"Germany",52017685,15927978,5386196,54366254,1046745
2003,"Germany",61808557,24636945,8760410,54376857,7141516
2004,"Germany",96274278,25198047,9509026,46587018,9909917
2005,"Germany",146662620,31533347,6425207,53587287,8491673
2006,"Germany",158488594,36736696,8473013,63513170,4518815
2007,"Germany",144259115,39134639,11730577,81113196,6217359
2008,"Germany",157836957,44838503,5524088,73826085,8892870
2009,"Germany",137489763,38384820,6452283,69813743,13228361
2010,"Germany",138467928,46502968,10566491,95100849,62535725
2011,"Germany",217938504,47082500,15226804,118442814,56219069
2012,"Germany",164988458,42612236,15931131,140305681,51056236
2013,"Germany",166932647,42736012,16769896,160261931,24313195
2014,"Germany",153283322,41101104,13839886,164335412,23471676
2015,"Germany",138443667,45191496,8633740,131511295,20583296
2016,"Germany",147673559,35875824,9288463,122526473,31711434
1997,"Ghana",75801,130486,5319,16380,9083985
2015,"Ghana",2665,15728,789158,402425,225046343
1998,"Greece",1268317,2944,1044682,250756,2216
2000,"Greece",1174903,9398,775182,223105,2314
2001,"Greece",1224778,5645,971047,418846,0
2003,"Greece",1231492,15964,965075,303932,4254
2004,"Greece",1173234,11096,706696,275365,0
2005,"Greece",1480806,177380,898219,416498,5084
2007,"Greece",2061566,48695,670814,467150,2920
2008,"Greece",2082215,59504,535151,334175,0
2009,"Greece",2367774,46310,341620,412814,2644
2014,"Greece",2769930,91138,493544,929813,0
2015,"Greece",3313678,58161,402350,784639,0
2016,"Greece",2574041,133172,348863,700024,0
1996,"Guatemala",266456012,0,2178947,0,6396
1997,"Guatemala",414107542,22340,1972294,99007,184235
1998,"Guatemala",306476389,0,1760776,52223,130538
1999,"Guatemala",309930633,0,2675010,168032,0
2000,"Guatemala",310978239,12202,4566817,252490,0
2001,"Guatemala",183670360,5081,5410935,171264,0
2002,"Guatemala",174874714,6780,5010275,175629,0
2003,"Guatemala",221269057,0,3686236,668395,0
2004,"Guatemala",221179882,54136,3796574,477995,0
2005,"Guatemala",294442199,0,2804573,471076,0
2006,"Guatemala",287499140,0,2630605,117103,0
2007,"Guatemala",319268960,0,3802967,146066,2546
2008,"Guatemala",379821821,32837,7165398,139219,40518
2009,"Guatemala",347817621,252886,6306194,199058,2883
2010,"Guatemala",301106632,214757,12426225,454995,0
2011,"Guatemala",591258993,194104,16599668,782175,5384
2012,"Guatemala",584163125,274331,11609054,872346,0
2013,"Guatemala",419748218,261656,10232693,838912,26002
2014,"Guatemala",367142134,318039,7819658,1491625,57410
2015,"Guatemala",330070481,277213,8802762,678491,185515
2016,"Guatemala",264127981,282130,8291893,823639,159721
2014,"Guyana",16661,18458,156403,0,0
2016,"Guyana",7857,8060,167857,0,0
1998,"Haiti",788445,0,15865,0,2488389
1999,"Haiti",217483,0,0,0,1475027
2000,"Haiti",313289,0,0,0,1240770
2001,"Haiti",74449,0,0,0,1598535
2002,"Haiti",108464,0,0,0,3977313
2004,"Haiti",174906,9348,9700,0,3096643
2006,"Haiti",155649,0,9653,0,4342089
2007,"Haiti",125636,0,0,0,5810579
2008,"Haiti",193241,0,10327,0,8359997
2009,"Haiti",45689,0,0,0,7086683
2010,"Haiti",121066,0,10910,0,4162768
2011,"Haiti",464803,0,0,0,5698732
2012,"Haiti",661684,0,12316,0,8351875
2013,"Haiti",612842,0,11060,0,2225310
2014,"Haiti",421183,0,0,0,5444172
2015,"Haiti",565559,7740,0,0,3612215
2016,"Haiti",207543,0,24712,6167,1295090
1996,"Honduras",38525034,0,1426738,0,209579
1997,"Honduras",69340622,0,1455485,0,1854909
1998,"Honduras",126204910,0,477234,0,2357373
1999,"Honduras",50683930,0,1258719,0,2069418
2000,"Honduras",99806154,0,1214432,13255,1678596
2001,"Honduras",37533867,0,781138,0,1337703
2002,"Honduras",28544749,0,2010411,0,990045
2003,"Honduras",25720532,0,1514484,0,935146
2004,"Honduras",44638226,0,2055106,0,2408846
2005,"Honduras",62467589,0,1537679,0,2777157
2006,"Honduras",60950635,0,1656635,0,2831298
2007,"Honduras",103482440,0,1953111,0,1611975
2008,"Honduras",134946967,0,2504042,0,2674803
2009,"Honduras",76986900,0,1938427,0,0
2010,"Honduras",79074669,0,1405566,0,157629
2011,"Honduras",234643706,0,2457792,0,68116
2012,"Honduras",290558824,0,2226656,0,67566
2013,"Honduras",162682368,0,2872894,0,29942
2014,"Honduras",203465631,0,2624966,62803,184598
2015,"Honduras",218187567,0,3468382,93066,87120
2016,"Honduras",245544390,0,2365051,24746,219400
1996,"Hong Kong",9613,1321844,2812079,69902,0
1998,"Hong Kong",231133,871310,857019,17389,0
1999,"Hong Kong",9180,831442,1167445,57154,97068
2000,"Hong Kong",28177,1837506,1346503,584917,0
2001,"Hong Kong",21109,1862937,720115,435395,0
2002,"Hong Kong",23480,2529874,506932,355248,0
2003,"Hong Kong",24387,1912597,977138,229188,0
2004,"Hong Kong",115922,1735349,383041,380002,0
2005,"Hong Kong",220168,1669273,506915,240178,0
2006,"Hong Kong",64512,648316,490733,84414,0
2007,"Hong Kong",20502,597543,317555,544308,0
2008,"Hong Kong",9522,1453499,459812,15424,0
2009,"Hong Kong",18165,1434886,359690,46861,0
2010,"Hong Kong",29252,915255,364423,33581,0
2011,"Hong Kong",26228,938033,519686,51311,0
2012,"Hong Kong",325036,1132146,332320,35094,44162
2013,"Hong Kong",800862,966704,771389,68959,0
2014,"Hong Kong",582201,710357,651219,5938,0
2015,"Hong Kong",5853,688111,881199,29943,0
2016,"Hong Kong",334179,1112086,732032,96108,0
2003,"Hungary",99141,4116,463291,925797,21810
2016,"Hungary",48464,0,454787,1147604,2491
2014,"Iceland",23337,0,0,393546,0
1996,"India",46562006,13001763,71918586,28340,77616
1997,"India",42546386,18714915,107640384,37740,1128664
1998,"India",41217596,22137945,107860268,36407,0
1999,"India",22042643,21644495,151850099,61961,830271
2000,"India",36857125,22849816,97034458,83633,88268
2001,"India",11228128,24441141,64233202,148594,533771
2002,"India",4632584,24846014,56197642,274028,97777
2003,"India",3949453,31136702,50513807,126579,43155
2004,"India",8226641,30643498,58925299,158706,378309
2005,"India",5100977,39453235,55918153,201782,459063
2006,"India",9530267,45539059,72477390,305109,408866
2007,"India",9109261,42216260,129670399,398368,280420
2008,"India",8714396,52451566,140127456,534092,3581100
2009,"India",9253908,53785995,102450162,640867,3009451
2010,"India",19077210,63392228,127280739,936514,6429287
2011,"India",30244891,68948961,183000430,378641,3741183
2012,"India",41301808,62100464,219639615,817484,2271396
2013,"India",39926427,72475450,189751875,348375,7389789
2014,"India",38266757,70094744,194036440,869942,35442050
2015,"India",32737834,68366228,272331192,572021,36188532
2016,"India",35676187,69126286,256665877,1539512,30974210
1996,"Indonesia",139011562,14927673,108916750,1742,196884338
1997,"Indonesia",166267491,12203525,116389452,27591,267743745
1998,"Indonesia",159679833,17551271,132715128,5511,276416873
1999,"Indonesia",87395692,11615244,105568691,206126,247688396
2000,"Indonesia",75798464,8734854,138330802,73647,156666367
2001,"Indonesia",67764793,8193236,112548611,39571,189267587
2002,"Indonesia",78292460,6882579,85492484,23968,211131430
2003,"Indonesia",101274748,6812208,125169740,76325,265208814
2004,"Indonesia",147201289,7989238,77538136,6379,239802882
2005,"Indonesia",198899114,8871670,55590864,64779,266365794
2006,"Indonesia",235094575,9709996,64035236,38094,268197942
2007,"Indonesia",217836615,11293473,97082893,14014,204026745
2008,"Indonesia",249925959,10749770,137520647,39257,255072508
2009,"Indonesia",210671541,12044265,106511607,263032,359430449
2010,"Indonesia",245471105,13436251,153836696,94329,463685105
2011,"Indonesia",336223734,12842452,189431981,177398,215707769
2012,"Indonesia",419628903,10262749,249109203,129095,164468585
2013,"Indonesia",299495147,10233172,223731622,209229,181865269
2014,"Indonesia",333499322,8917742,169336268,336669,257342158
2015,"Indonesia",348957559,7201165,252432738,174268,281897522
2016,"Indonesia",313217815,9427227,222408263,225389,248104332
2001,"Ireland",291382,861486,0,14591705,3654
2002,"Ireland",208949,888029,0,14687223,106650
2003,"Ireland",177459,970501,3120,12051584,2291
2004,"Ireland",165888,1096904,13034,16563250,4976
2005,"Ireland",33728,1203684,83707,22848078,2825
2006,"Ireland",12200,1286676,92519,31159109,3621
2007,"Ireland",12413,1514985,111242,24920807,4322
2014,"Ireland",335941,3640658,115944,38562939,0
1996,"Israel",284470,138224,5283890,5636154,45084
1997,"Israel",376549,246314,5714796,6734786,1843
1998,"Israel",403352,116900,7258988,6555769,2968
1999,"Israel",508141,344329,6384137,5787475,3006
2000,"Israel",1204845,342046,7081406,5249282,5714
2001,"Israel",1634581,377992,4398203,8639221,9639
2002,"Israel",289865,608490,6612086,3796815,8803
2003,"Israel",679312,785462,10050657,5593371,66559
2004,"Israel",959160,1292429,11681754,5407999,33821
2005,"Israel",1103903,1324660,9064399,6406864,5839
2006,"Israel",1157810,1310383,15651576,7163419,38835
2007,"Israel",1051477,1037674,15210400,7323781,54837
2008,"Israel",1707754,393378,11683782,8716415,21027
2009,"Israel",1659010,393739,6143751,8661192,38041
2010,"Israel",1955394,1887107,5235456,12316429,204513
2011,"Israel",2079714,769776,5472602,12781370,100983
2012,"Israel",2360594,520812,7296649,14178601,0
2013,"Israel",2369241,1293251,7702706,10154960,156177
2014,"Israel",2271132,2148017,7889261,12772252,126014
2015,"Israel",3315631,1139934,4555775,14263209,187528
2016,"Israel",3823385,1548721,3462863,16275976,196410
1996,"Italy",17652225,78473,546761,27962444,348704
1997,"Italy",16711698,78890,696920,29348496,378708
1998,"Italy",16020940,98350,843133,28925360,377482
1999,"Italy",17428233,28055,865720,11963840,364128
2000,"Italy",18869432,92944,1207234,11696172,510644
