"Year","Country","Coffee","Tea","Spices","Chocolate","Cocoa"
1997,"Argentina",686129,28394041,232637,2412754,0
1998,"Argentina",196345,38922477,200562,3151203,8871106
1999,"Argentina",309700,35556629,94604,2723549,4939176
2000,"Argentina",30617,34080453,247835,3712077,0
2001,"Argentina",46530,38031666,302829,5561445,0
2002,"Argentina",42895,36340007,189570,6469086,0
2003,"Argentina",16531,28829211,16151,5492457,0
2004,"Argentina",210246,34508042,27815,6428949,0
2006,"Argentina",775436,39910348,11982,6141405,0
2008,"Argentina",35048,50906687,87697,1739620,39384
2009,"Argentina",2359,55621454,46491,1213433,0
2010,"Argentina",14421,69937633,37262,939243,0
2012,"Argentina",247399,84011687,85695,734554,0
2014,"Argentina",13360,91986246,85759,227661,0
2015,"Argentina",21071,89261826,259976,384418,0
2016,"Argentina",33297,80322873,90632,432684,0
1996,"Australia",2331,18732,78095,362484,0
1998,"Australia",6171,159202,47706,310035,0
2000,"Australia",13922,0,237740,386180,0
2001,"Australia",119247,57528,447418,449938,0
2002,"Australia",33943,275995,870580,548874,0
2003,"Australia",77485,381792,435345,943763,0
2004,"Australia",229128,255492,358613,1334883,0
2005,"Australia",128839,254687,165163,1457433,0
2006,"Australia",439964,264388,264826,780704,0
2007,"Australia",186288,76647,178445,1946697,0
2008,"Australia",116269,70312,246138,1253028,3719
2009,"Australia",47841,47229,154090,228862,0
2010,"Australia",54209,267353,138213,843158,0
2011,"Australia",43578,33013,78357,1970705,0
2012,"Australia",105656,80935,77466,402593,2776
2013,"Australia",173303,23599,27476,570978,0
2014,"Australia",344846,88636,109201,1058507,0
2015,"Australia",305960,233958,54890,1168889,0
2016,"Australia",578954,151812,60953,3382975,0
2005,"Austria",150118,10035,0,6920444,0
2006,"Austria",220665,279265,10780,6583708,4800
2009,"Austria",282004,30465,2600,8150995,2350
2010,"Austria",408176,12711,78631,9970638,4456
2011,"Austria",500390,0,7223,12226775,4238
2013,"Austria",78151,48874,125051,11891215,0
2014,"Austria",312323,126799,49579,13045559,3293
2015,"Austria",288075,8646,90008,11261207,2813
2016,"Austria",255404,23967,138774,10969993,0
2002,"Bahamas",23200,73137,0,0,0
2002,"Barbados",4887,0,23580,0,0
2004,"Barbados",5140,0,10957,0,0
1996,"Belgium",269514,2265,36428,25036049,3826772
1997,"Belgium",388446,0,45234,33752427,3868727
1998,"Belgium",933822,0,5516,38731031,3164101
1999,"Belgium",1037905,0,3260,49506661,4590104
2000,"Belgium",639748,37736,67497,50141580,881873
2001,"Belgium",1020521,43460,34726,56848743,491029
2002,"Belgium",793268,119184,34958,53413462,430135
2003,"Belgium",867550,132963,5620,64455494,952867
2004,"Belgium",6210876,32590,85804,74003868,508888
2005,"Belgium",13266105,132445,96518,80305974,458940
2006,"Belgium",12391655,4648627,23685,94428684,601044
2007,"Belgium",12127962,1287768,30736,107740212,2063363
2008,"Belgium",11132258,350107,27466,93464143,8063268
2009,"Belgium",4359527,218541,123731,81784385,3122337
2010,"Belgium",3963159,179892,145668,92233132,5675404
2011,"Belgium",8441207,238512,42815,118762287,2265769
2012,"Belgium",3304107,706809,52417,124415855,2481828
2013,"Belgium",3073519,278853,103820,126909157,2735353
2014,"Belgium",5540725,501100,58178,133830682,3484423
2015,"Belgium",5647476,244622,57860,128118662,2895312
2016,"Belgium",4521530,185782,27535,144383617,3676048
1999,"Belize",9850,0,116320,0,0
2011,"Belize",6956,0,0,0,22260
2003,"Bolivia",2568215,0,2865,0,18232
2007,"Bolivia",3767979,24727,41124,0,34578
